LAKE,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec, Total
B,1994,3937,3637,29838,8199,524,7943,7468,9800,8793,5977,4049,3685,93850
B,1995,3673,3875,8261,9761,12288,20691,15924,11630,4814,4877,4257,3964,104015
B,1996,3360,3136,14327,24512,2474,7440,8769,10355,8770,7597,3343,2739,96822
B,1997,2483,2351,16036,52249,1401,9516,8018,15084,8223,6485,5242,5289,132377
B,1998,5211,4506,10692,13485,19044,20617,11790,11428,12565,5089,3968,4051,122446
B,1999,3810,3411,45054,9057,517,2911,8608,10295,10404,9505,5101,4340,113013
B,2000,4123,3357,4516,23547,23477,23094,9936,13698,8686,4280,3591,4040,126345
B,2001,4077,3521,5225,3841,12533,25821,25827,17701,10546,7708,7222,6892,130914
B,2002,6575,4384,4889,15352,24035,28156,26809,6447,5197,6414,5065,5163,138486
B,2003,4611,4268,19850,6810,4868,21138,20529,20643,13849,8420,5050,4722,134758
B,2004,5026,6150,9362,30056,22643,11092,13335,14299,9503,13945,5284,5094,145789
B,2005,4820,4884,15398,19043,8002,11088,10595,11894,8563,6289,2923,4164,107663
B,2006,4047,3570,14070,50741,6538,13829,9931,9349,7551,6206,2081,4359,132272
B,2007,4164,3701,31014,9744,4500,7964,7632,15152,7211,5416,5173,4912,106583
B,2008,4666,4558,5461,13370,19441,27201,22558,11585,7884,6121,8582,8098,139525
B,2009,3190,3265,4053,26663,21305,10805,12666,10765,8408,6098,3849,5416,116483
B,2010,4688,4134,10694,19093,18183,10298,11470,11307,4386,5235,5008,5607,110103
L,1994,6308,1844,81028,39601,23231,14004,9451,5635,5085,0,0,298,186485
L,1995,1890,0,25333,21608,45308,22044,7057,15546,0,2499,1894,1604,144783
L,1996,1794,1934,19338,167375,39451,27458,12774,8502,0,592,677,5893,285788
L,1997,6638,525,10249,163795,32706,20163,9725,19331,5256,0,0,1383,269771
L,1998,5028,774,15277,16678,33203,24575,4007,5359,0,0,0,764,105665
L,1999,5798,2920,42738,102488,23720,7289,11144,10366,0,0,0,912,207375
L,2000,4335,2531,3674,2284,24416,33992,22803,6274,0,0,21,9176,109506
L,2001,0,2090,6770,41559,36504,24484,9939,15123,0,0,0,387,136856
L,2002,4835,4061,4254,5073,24373,27763,15201,15403,2279,0,2127,4061,109430
L,2003,3094,3319,36743,20045,26601,19733,22490,11287,4758,0,0,0,148070
L,2004,3481,4061,8316,21517,31003,29272,12591,5812,5355,0,0,3177,124585
L,2005,3823,774,11023,82802,24248,18217,13770,7557,725,3282,3914,5532,175667
L,2006,8748,1600,9588,107492,40810,23160,23600,9071,0,0,2035,3049,229153
L,2007,0,621,57048,63563,50846,20310,24959,8514,0,0,0,1687,227548
L,2008,3470,2263,2306,17721,36732,18063,5347,4476,6527,0,0,2901,99806
L,2009,4835,1934,580,60923,30079,11551,18293,5914,9880,0,0,2234,146223
L,2010,8349,1349,18565,83716,46405,72341,35043,11914,35742,19676,15842,7140,356082
P,1994,8845,5292,50056,104256,49348,26489,20749,13090,14037,15955,12422,7496,328035
P,1995,5187,3999,31504,13733,8307,5294,10221,11477,14644,20158,18535,9894,152953
P,1996,5675,3005,12632,139114,108404,62094,50165,30396,17777,26058,14881,10936,481137
P,1997,4662,3161,4681,148968,116341,59482,35580,38942,30208,24304,15610,13035,494974
P,1998,7780,5305,5903,19830,7850,11316,19527,12016,8620,10002,8820,6883,123852
P,1999,4386,4240,31551,118033,79001,64656,69228,52571,30030,19832,19247,13283,506058
P,2000,9116,5953,5810,5496,15315,12167,12875,7086,5288,9098,12407,8732,109343
P,2001,5686,2553,7502,61243,7011,9229,11202,8173,2597,1482,460,364,117502
P,2002,430,436,477,2594,14385,15829,15643,5014,1241,868,1289,1339,59545
P,2003,982,2240,28732,56106,52184,35610,8204,5932,4016,5954,4981,2742,207683
P,2004,3016,2644,3975,20567,18244,44817,12002,11844,19020,18376,14001,7639,176145
P,2005,3845,2255,10106,102900,31875,19832,35449,5628,17462,16856,15468,12644,274320
P,2006,10199,7378,11052,63740,59184,52519,42164,25655,7420,7428,9392,7689,303820
P,2007,5940,3590,38780,62048,42808,46830,37443,10885,8096,7630,10010,6863,280923
P,2008,4478,3130,6346,5890,3369,20836,19638,14739,7696,5690,2969,2597,97378
P,2009,2393,1902,2998,27871,21530,10896,8850,8582,6681,5293,10947,11326,119269
P,2010,8408,7093,12494,22777,32550,81904,83617,67953,62883,50957,44669,25629,500934
K,1994,9031,5904,56942,112898,56359,26900,19608,13961,14992,18862,14775,8314,358546
K,1995,5536,4395,43014,26154,12109,5713,8208,10962,15585,22739,21201,11881,187497
K,1996,6380,3274,14478,145678,123773,66945,50769,31616,18642,26401,15760,11936,515652
K,1997,5779,3924,5617,145620,127594,64221,34905,35459,31932,26651,17285,13780,512767
K,1998,8540,5492,6070,16145,5991,9470,20331,10800,8029,13904,13017,7777,125566
K,1999,4598,4157,38792,119061,88031,65353,67930,54736,32471,20686,19819,14041,529675
K,2000,9896,6731,4724,5303,8958,11567,12144,7550,4415,11023,13761,10077,106149
K,2001,7023,3898,7656,78625,6625,5385,9250,6471,1883,6140,4034,1078,138068
K,2002,545,412,433,1240,7306,10539,14470,5920,1458,737,6094,4200,53354
K,2003,1560,1374,36714,60801,54054,36257,10325,4708,3244,4859,4316,2704,220916
K,2004,3010,2677,4025,15171,13672,48920,10946,10968,19675,21047,17200,8359,175670
K,2005,4598,2933,9028,116242,34649,23367,34039,6802,17126,18917,17573,13427,298701
K,2006,10823,7661,14794,68256,60089,55248,41675,25408,7778,10811,10513,7902,320958
K,2007,6153,3696,41172,71441,45354,46332,34075,10601,6860,13342,12311,6109,297446
K,2008,4941,3398,8085,5857,2818,17517,12561,13430,7613,8337,7121,3296,94974
K,2009,1719,1316,3040,31585,15630,10447,7871,8084,6217,7205,13118,11399,117631
K,2010,9359,7833,16847,26726,32273,91412,83257,70645,69519,53768,46097,28188,535924
C,1994,11523,7913,26638,103411,76213,42653,26497,14562,13850,17566,19024,12473,372323
C,1995,9131,6956,68133,50031,27788,9247,6270,9069,15315,25163,24309,16861,268273
C,1996,11985,7860,14172,146107,146248,87976,55260,39739,20220,23836,17080,16492,586975
C,1997,10758,7295,10533,98104,147030,80572,43623,24205,31814,31422,23803,16000,525159
C,1998,11105,8575,8790,16748,5644,9056,19713,11201,5581,16333,20257,11996,144999
C,1999,8094,5897,29789,109466,103476,69647,64832,61567,39032,28044,23587,15617,559048
C,2000,13283,9308,12409,7407,5084,10841,11665,10005,6001,9761,20815,13406,129985
C,2001,10070,5666,13517,132425,23988,3595,7905,5432,1351,4225,6786,4588,219548
C,2002,2945,2089,1470,2865,1945,3257,10902,11792,4665,1922,8986,9375,62213
C,2003,5549,4027,33618,45074,56467,41778,19024,5908,2356,1376,3309,2084,220570
C,2004,2994,3652,6922,8977,6037,42647,19484,9263,14900,16991,15990,13209,161066
C,2005,8922,6301,9106,118847,62692,40020,28788,13841,20909,18775,18210,14596,361007
C,2006,13370,8873,12692,77078,73804,60251,35242,21876,12869,10122,12750,10207,349134
C,2007,8965,5262,46107,85616,55063,46815,30279,14165,6625,17066,17905,11286,345154
C,2008,5711,5157,8664,23454,5756,7984,9258,8361,7376,7616,8331,7002,104670
C,2009,3615,1872,4587,39892,14763,15994,8595,7526,5833,7596,16857,12460,139590
C,2010,11502,11336,22252,37416,25486,86771,90802,75780,102295,60894,66511,41504,632549
WW,1994,0,0,31112,25681,1762,1926,12860,4209,313,88,0,0,77951
WW,1995,0,0,22190,5596,605,592,106,189,1288,194,0,0,30760
WW,1996,0,0,0,90167,17770,710,1547,20,0,51,0,0,110265
WW,1997,0,0,0,59279,12629,125,83,0,0,0,0,0,72116
WW,1998,0,0,376,414,427,640,1437,151,0,28,0,0,3473
WW,1999,0,0,9242,40862,1397,254,144,125,0,0,0,0,52024
WW,2000,0,0,163,541,512,1360,1313,1355,0,0,0,0,5244
WW,2001,0,0,0,26069,7294,518,2479,908,0,0,0,0,37268
WW,2002,0,0,0,1381,459,430,116,306,0,0,0,0,2692
WW,2003,0,0,4694,6596,612,183,11,0,0,0,0,0,12096
WW,2004,0,0,0,2206,3309,7326,1870,658,0,0,0,0,15369
WW,2005,0,0,388,40756,620,1342,679,1,0,0,0,0,43786
WW,2006,0,0,3106,10270,979,712,409,0,0,0,0,0,15476
WW,2007,0,0,4792,4526,431,168,1,0,0,0,0,0,9918
WW,2008,0,0,0,1381,133,48,19,16,19,84,0,0,1700
WW,2009,0,0,0,25406,4310,1418,314,398,31,260,0,0,32137
WW,2010,0,0,4073,13984,1936,5089,1997,364,2389,1213,0,0,31045
WW,2011,0,0,2,98202,40789,50734,14269,4548,513,338,0,0,209395
D,1994,267900,278100,1232100,574300,920900,1115200,418300,307700,251800,234600,208700,236000,6045600
D,1995,239400,244600,320700,206000,1005300,3414100,1708100,801400,522900,483300,440600,414600,9801000
D,1996,334900,491800,890700,1181700,1051600,1581700,857700,381100,248100,404100,245500,271500,7940400
D,1997,266500,311500,1281200,900600,1015100,2034300,492600,342100,333400,326300,327700,257700,7889000
D,1998,233000,255600,303000,394600,615700,2213700,1654500,427100,258000,270500,296600,250500,7172800
D,1999,247000,239300,366700,303100,352000,780800,1679700,897800,440400,361600,475700,459900,6604000
D,2000,267500,267700,342600,344200,269300,306500,435300,274500,246600,243000,239700,204800,3441700
D,2001,221800,192900,281000,239100,219000,425500,230800,181200,146900,128300,112500,188700,2567700
D,2002,186200,193900,211600,276900,276600,2746900,1090200,397200,413400,436900,313700,252600,6796100
D,2003,223200,218600,605300,662700,1095100,1243400,324400,188900,184500,197300,285000,231600,5460000
D,2004,193400,223600,334200,268700,298200,699900,682300,572300,691900,454500,358300,249900,5027200
D,2005,312400,341300,410900,429000,357200,3941800,1585700,661900,1247900,1098400,685200,414400,11486100
D,2006,388300,299200,408000,717700,713200,1789500,477400,250600,388100,427400,380300,311900,6551600
D,2007,284500,244000,533800,762200,1229500,1927600,681900,337800,385800,380000,291000,248500,7306600
D,2008,238600,241000,314000,285000,1279500,2447700,951100,395500,428400,382700,320200,241900,7525600
D,2009,272300,238900,307700,492700,346300,494100,489600,654500,301800,295100,283600,236500,4413100
D,2010,243100,235800,323200,232200,760800,2596900,1176400,521800,608600,631000,360900,297400,7988100
