Lake,Date,Temp_C,Wind_ms,Salinity_ppt
B,04-07-1994,19.0833333333,4.060,0
B,01-06-1998,15.2,4.06,0
B,02-07-2013,24.5,4.06,0
B,02-08-1995,19,4.06,0
B,02-08-1996,22,4.06,0
B,02-08-2011,23,4.06,0
B,02-09-2008,15.3,4.06,0
B,03-06-2005,15.1,4.06,0
B,03-06-2013,16,4.06,0
B,03-07-1996,22,4.06,0
B,03-07-2002,21,4.06,0
B,03-07-2007,21.1,4.06,0
B,03-08-2010,23,4.06,0
B,04-05-1995,9,4.06,0
B,04-05-2001,9.2,4.06,0
B,04-06-2003,16.9,4.06,0
B,04-06-2004,15.1999998093,4.06,0
B,04-06-2007,17.2,4.06,0
B,04-06-2012,16.2,4.06,0
B,04-07-1994,19,4.06,0
B,04-07-1999,18,4.06,0
B,04-07-2006,23.5,4.06,0
B,04-07-2011,21.9,4.06,0
B,04-08-2009,19.3,4.06,0
B,05-05-1999,,4.06,0
B,05-06-2000,16,4.06,0
B,05-06-2002,16.5,4.06,0
B,05-06-2006,18.1,4.06,0
B,05-07-2010,22.2,4.06,0
B,05-08-1997,25,4.06,0
B,05-08-2008,21,4.06,0
B,05-08-2014,23.4,4.06,0
B,06-05-2003,12.3,4.06,0
B,06-06-1996,17.5,4.06,0
B,06-06-2001,15.1,4.06,0
B,06-06-2011,14.9,4.06,0
B,06-07-2009,20.8,4.06,0
B,06-08-1999,22,4.06,0
B,06-08-2002,16.5,4.06,0
B,07-05-2000,13.5,4.06,0
B,07-05-2004,15.3000001907,4.06,0
B,07-05-2007,13.4,4.06,0
B,07-05-2012,9.8,4.06,0
B,07-06-2010,15.8,4.06,0
B,07-07-2000,20.5,4.06,0
B,07-07-2008,21.7,4.06,0
B,07-07-2014,21.1,4.06,0
B,08-05-1996,6.5,4.06,0
B,08-05-1997,9,4.06,0
B,08-05-2002,6,4.06,0
B,08-05-2006,12.1,4.06,0
B,08-06-2009,13.7,4.06,0
B,08-07-1997,19.5,4.06,0
B,08-08-2000,22,4.06,0
B,09-05-2011,9.5,4.06,0
B,09-06-1995,18,4.06,0
B,09-06-1997,19.5,4.06,0
B,09-06-2008,15.6,4.06,0
B,09-06-2014,16.9,4.06,0
B,09-08-2001,21.5,4.06,0
B,10-05-2005,10,4.06,0
B,10-05-2010,8,4.06,0
B,11-05-2009,9.8,4.06,0
B,11-07-1995,23,4.06,0
B,11-08-2004,18.1000003815,4.06,0
B,11-08-2005,20.1,4.06,0
B,11-08-2006,21.7,4.06,0
B,12-05-2008,10.3,4.06,0
B,12-05-2014,6.7,4.06,0
B,12-07-2004,20.3999996185,4.06,0
B,12-08-2013,20.5,4.06,0
B,13-07-1999,21,4.06,0
B,13-07-2001,24,4.06,0
B,13-07-2011,21.6,4.06,0
B,13-08-2003,23.2,4.06,0
B,13-08-2007,19.6,4.06,0
B,13-08-2012,22.1,4.06,0
B,14-06-1999,18,4.06,0
B,14-07-2003,21.3,4.06,0
B,14-07-2010,20.1,4.06,0
B,15-05-1998,12,4.06,0
B,15-06-1998,17.5,4.06,0
B,15-06-2001,17,4.06,0
B,15-07-1998,19.5,4.06,0
B,15-07-2005,23.4,4.06,0
B,15-07-2013,21.1,4.06,0
B,15-08-2011,21.8,4.06,0
B,16-05-1995,,4.06,0
B,16-05-2001,14,4.06,0
B,16-06-2004,,4.06,0
B,16-07-2007,23.4,4.06,0
B,16-07-2012,23.1,4.06,0
B,16-08-2010,19.5,4.06,0
B,17-05-1999,12,4.06,0
B,17-06-2005,19.2,4.06,0
B,17-06-2013,17.4,4.06,0
B,17-07-2006,23.6,4.06,0
B,17-08-2009,17.7,4.06,0
B,18-06-1996,19,4.06,0
B,18-06-2012,17.3,4.06,0
B,18-07-1994,22,4.06,0
B,18-08-1994,20,4.06,0
B,18-08-2008,21.3,4.06,0
B,18-08-2014,23,4.06,0
B,19-05-2000,14.5,4.06,0
B,19-06-2006,17.3,4.06,0
B,19-06-2007,17.7,4.06,0
B,19-07-1996,22,4.06,0
B,19-08-1996,21,4.06,0
B,19-08-2002,16,4.06,0
B,20-05-2005,12.7,4.06,0
B,20-05-2009,9.7,4.06,0
B,20-06-2000,15.5,4.06,0
B,20-06-2002,18,4.06,0
B,20-06-2003,21.3,4.06,0
B,20-06-2011,18.2,4.06,0
B,20-07-2009,19.5,4.06,0
B,20-08-1999,20,4.06,0
B,20-08-2003,22.9,4.06,0
B,21-05-2003,12.4,4.06,0
B,21-05-2013,11.9,4.06,0
B,21-06-2010,20.1,4.06,0
B,21-07-1995,22,4.06,0
B,21-07-2008,22,4.06,0
B,21-07-2014,21.7,4.06,0
B,21-08-1997,18.5,4.06,0
B,21-08-1998,20,4.06,0
B,22-05-1996,12.5,4.06,0
B,22-05-2007,14.3,4.06,0
B,22-05-2012,15.2,4.06,0
B,22-06-2009,19.7,4.06,0
B,22-07-2002,22.5,4.06,0
B,22-08-2000,19,4.06,0
B,22-08-2007,17.3,4.06,0
B,22-09-1998,14.5,4.06,0
B,23-05-2002,10.5,4.06,0
B,23-05-2006,16.8,4.06,0
B,23-06-1995,21,4.06,0
B,23-06-2008,19.9,4.06,0
B,23-06-2014,17.5,4.06,0
B,24-05-2011,14.6,4.06,0
B,24-07-1997,22.5,4.06,0
B,24-07-2000,21.5,4.06,0
B,24-08-1995,17,4.06,0
B,25-05-2010,12.9,4.06,0
B,25-06-1997,19,4.06,0
B,25-06-2001,19.5,4.06,0
B,25-07-2012,23.6,4.06,0
B,26-05-1995,12,4.06,0
B,26-05-1997,13,4.06,0
B,26-05-2004,10.5,4.06,0
B,26-05-2008,12.9,4.06,0
B,26-05-2014,16.3,4.06,0
B,26-08-2013,22.1,4.06,0
B,27-06-2003,18.9,4.06,0
B,27-07-2001,22,4.06,0
B,27-08-2012,18.7,4.06,0
B,28-06-2004,19.2999992371,4.06,0
B,28-06-2012,19.5,4.06,0
B,28-07-1994,22,4.06,0
B,28-08-1999,17,4.06,0
B,28-08-2001,20,4.06,0
B,28-08-2006,20,4.06,0
B,29-07-2003,23.3,4.06,0
B,29-07-2004,19.3999996185,4.06,0
B,29-07-2005,19.6,4.06,0
B,29-07-2013,19.2,4.06,0
B,29-08-2011,20.6,4.06,0
B,30-05-1999,15.5,4.06,0
B,30-06-1998,18,4.06,0
B,30-06-2005,17.7,4.06,0
B,30-07-2007,25.6,4.06,0
B,30-08-2010,17.8,4.06,0
B,31-07-1998,19,4.06,0
B,31-07-2006,22.2,4.06,0
B,31-08-2009,19.2,4.06,0
C,01-06-2001,13.8,4.06,0
C,01-08-1997,22,4.06,0
C,01-08-2006,21.7,4.06,0
C,01-08-2007,23.7,4.06,0
C,01-08-2012,24.1,4.06,0
C,01-09-2010,18.1,4.06,0
C,02-06-2004,11.6000003815,4.06,0
C,02-07-1997,17,4.06,0
C,02-09-2009,19.8,4.06,0
C,03-06-1999,14,4.06,0
C,03-08-1994,23,4.06,0
C,04-07-2005,19.2,4.06,0
C,04-07-2007,21.5,4.06,0
C,04-07-2013,24.2,4.06,0
C,04-08-2005,21.8,4.06,0
C,04-08-2011,23.3,4.06,0
C,04-09-1997,,4.06,0
C,04-09-2008,17.5,4.06,0
C,05-05-2000,11,4.06,0
C,05-06-2013,14.7,4.06,0
C,05-07-1994,20.5,4.06,0
C,05-07-1999,18,4.06,0
C,05-07-2002,20,4.06,0
C,05-07-2012,21.4,4.06,0
C,05-08-2003,21.9,4.06,0
C,05-08-2010,22.3,4.06,0
C,06-05-2004,7,4.06,0
C,06-06-1997,18,4.06,0
C,06-06-2005,14.3,4.06,0
C,06-06-2006,18.5,4.06,0
C,06-06-2012,14.1,4.06,0
C,06-07-2006,21.6,4.06,0
C,06-07-2011,23.6,4.06,0
C,06-08-2009,19.3,4.06,0
C,07-06-2007,13.5,4.06,0
C,07-07-2003,19.2,4.06,0
C,07-07-2010,21.6,4.06,0
C,07-08-2008,22.5,4.06,0
C,07-08-2014,22.9,4.06,0
C,08-06-1995,16,4.06,0
C,08-06-2011,14,4.06,0
C,08-07-2009,18.7,4.06,0
C,08-08-2001,23,4.06,0
C,09-05-2007,11.6,4.06,0
C,09-05-2012,8.2,4.06,0
C,09-06-2003,16.1,4.06,0
C,09-06-2010,15.2,4.06,0
C,09-07-2008,20.1,4.06,0
C,10-05-2006,10.1,4.06,0
C,10-08-2004,19.1000003815,4.06,0
C,11-05-2005,7.6,4.06,0
C,11-05-2011,8.2,4.06,0
C,11-06-2002,12.7,4.06,0
C,11-06-2008,12.6,4.06,0
C,11-06-2009,13.2,4.06,0
C,11-06-2014,14.9,4.06,0
C,12-05-2010,9.5,4.06,0
C,12-06-1998,17.5,4.06,0
C,12-07-2001,19,4.06,0
C,12-08-2000,21,4.06,0
C,12-08-2002,20,4.06,0
C,13-05-2002,8.5,4.06,0
C,13-05-2003,10.1,4.06,0
C,13-06-1996,21,4.06,0
C,13-06-2001,16.4,4.06,0
C,13-07-1995,24,4.06,0
C,13-07-1998,22,4.06,0
C,13-07-2004,19.6000003815,4.06,0
C,13-08-1999,21,4.06,0
C,14-05-1998,11,4.06,0
C,14-05-2008,8.9,4.06,0
C,14-05-2009,7.9,4.06,0
C,14-05-2014,6.8,4.06,0
C,14-06-2000,15.5,4.06,0
C,14-07-2000,22.5,4.06,0
C,14-08-1996,22,4.06,0
C,14-08-2013,20,4.06,0
C,15-05-1995,,4.06,0
C,15-06-2004,14,4.06,0
C,15-07-1996,22,4.06,0
C,15-07-1999,19,4.06,0
C,15-08-1995,18,4.06,0
C,15-08-1997,20,4.06,0
C,15-08-2005,19.6,4.06,0
C,15-08-2006,21.4,4.06,0
C,15-08-2007,20.5,4.06,0
C,15-08-2012,21,4.06,0
C,16-05-2001,,4.06,0
C,16-07-2003,22.1,4.06,0
C,17-05-1996,8,4.06,0
C,17-06-1999,17.5,4.06,0
C,17-07-2013,22.2,4.06,0
C,17-08-2011,21.7,4.06,0
C,18-05-1999,13.5,4.06,0
C,18-07-2005,21.9,4.06,0
C,18-07-2006,22.9,4.06,0
C,18-07-2007,23.5,4.06,0
C,18-07-2012,21.2,4.06,0
C,18-08-1998,21,4.06,0
C,18-08-2003,23.8,4.06,0
C,18-08-2010,19.9,4.06,0
C,19-05-1995,8.5,4.06,0
C,19-05-2000,11.5,4.06,0
C,19-05-2004,10.5,4.06,0
C,19-06-2013,18.4,4.06,0
C,19-07-1997,23,4.06,0
C,19-08-2009,19,4.06,0
C,20-01-2007,0.3,4.06,0
C,20-02-2007,0.4,4.06,0
C,20-05-1997,11,4.06,0
C,20-06-1997,19.5,4.06,0
C,20-06-2005,20.4,4.06,0
C,20-06-2006,18.8,4.06,0
C,20-06-2007,17.5,4.06,0
C,20-06-2012,16.6,4.06,0
C,20-07-2011,25.9,4.06,0
C,20-08-2008,23.9,4.06,0
C,20-08-2014,22.1,4.06,0
C,21-06-1995,,4.06,0
C,21-06-2002,17,4.06,0
C,21-07-2010,21.2,4.06,0
C,22-06-2011,18.2,4.06,0
C,22-07-1994,22,4.06,0
C,22-07-2009,21.3,4.06,0
C,22-08-1999,22,4.06,0
C,22-08-2001,22.1,4.06,0
C,23-05-2013,10.8,4.06,0
C,23-06-2010,19.6,4.06,0
C,23-07-2002,23,4.06,0
C,23-07-2008,19.2,4.06,0
C,23-07-2014,20.9,4.06,0
C,23-08-1994,20.5,4.06,0
C,23-09-1998,16.5,4.06,0
C,24-05-2005,11.6,4.06,0
C,24-05-2007,11.3,4.06,0
C,24-05-2012,12.1,4.06,0
C,24-06-1998,14.5,4.06,0
C,24-06-2003,19.7,4.06,0
C,24-06-2009,19.2,4.06,0
C,25-05-2006,15.6,4.06,0
C,25-06-2008,18.9,4.06,0
C,25-06-2014,17.4,4.06,0
C,25-07-2001,20.5,4.06,0
C,25-08-2000,20,4.06,0
C,26-05-2003,11.7,4.06,0
C,26-05-2011,13.9,4.06,0
C,26-06-2001,18.5,4.06,0
C,26-07-1995,21,4.06,0
C,26-07-1996,20,4.06,0
C,26-07-1999,21,4.06,0
C,26-07-2004,22.3999996185,4.06,0
C,26-08-1996,21,4.06,0
C,26-08-2007,18.4,4.06,0
C,27-05-2002,11.5,4.06,0
C,27-05-2009,9.2,4.06,0
C,27-05-2010,11.7,4.06,0
C,27-06-1996,17,4.06,0
C,28-05-1998,14.5,4.06,0
C,28-05-2008,12.7,4.06,0
C,28-05-2014,14.9,4.06,0
C,28-06-2000,16,4.06,0
C,28-08-2002,19.9,4.06,0
C,28-08-2013,24.2,4.06,0
C,29-05-1995,15,4.06,0
C,29-06-2004,18.7000007629,4.06,0
C,29-07-1998,25,4.06,0
C,29-08-2006,20.1,4.06,0
C,29-08-2012,20.9,4.06,0
C,30-07-2000,21.5,4.06,0
C,31-05-1996,14.5,4.06,0
C,31-07-2013,20.1,4.06,0
C,31-08-1995,18.5,4.06,0
C,31-08-2011,21.5,4.06,0
D,01-06-1999,11,4.06,0
D,01-06-2005,9.8,4.06,0
D,01-06-2011,8.4,4.06,0
D,01-07-2000,18,4.06,0
D,01-08-1999,20,4.06,0
D,02-05-2012,5.2,4.06,0
D,02-06-1995,15,4.06,0
D,02-06-2006,13.8,4.06,0
D,02-06-2010,10,4.06,0
D,02-07-1996,19.5,4.06,0
D,02-07-2008,18.9,4.06,0
D,02-07-2014,19.1,4.06,0
D,02-08-2001,20,4.06,0
D,02-09-1997,,4.06,0
D,03-05-2006,4.4,4.06,0
D,03-06-2009,10,4.06,0
D,03-08-2004,19.2000007629,4.06,0
D,03-09-2002,17.4,4.06,0
D,04-05-2005,4.9,4.06,0
D,04-06-2002,7.2,4.06,0
D,04-06-2008,10.4,4.06,0
D,04-06-2014,12.5,4.06,0
D,04-08-1995,20.5,4.06,0
D,05-05-2010,5.1,4.06,0
D,06-05-2008,3.7,4.06,0
D,06-05-2009,3.1,4.06,0
D,06-07-1995,17,4.06,0
D,06-07-1999,16.5,4.06,0
D,06-07-2004,15.3999996185,4.06,0
D,06-08-2000,21,4.06,0
D,06-08-2003,19.7,4.06,0
D,07-05-2007,7.6,4.06,0
D,07-08-1994,,4.06,0
D,07-08-2002,18.5,4.06,0
D,07-08-2013,19.3,4.06,0
D,08-06-1998,12,4.06,0
D,08-06-2001,12.5,4.06,0
D,08-06-2004,8.8000001907,4.06,0
D,08-07-1998,19,4.06,0
D,08-07-2002,18,4.06,0
D,08-08-2007,21.5,4.06,0
D,08-08-2012,22.4,4.06,0
D,09-07-2001,17.6,4.06,0
D,09-07-2003,17.1,4.06,0
D,09-09-1998,20,4.06,0
D,10-05-1995,8.5,4.06,0
D,10-05-2001,7.9,4.06,0
D,10-06-1999,14,4.06,0
D,10-07-1994,18,4.06,0
D,10-07-2013,21.2,4.06,0
D,10-08-2005,20.5,4.06,0
D,10-08-2011,21,4.06,0
D,11-05-1998,7.2,4.06,0
D,11-07-2007,20.2,4.06,0
D,11-07-2012,19.6,4.06,0
D,11-08-2010,22,4.06,0
D,12-05-2000,9,4.06,0
D,12-06-2003,13.2,4.06,0
D,12-06-2013,11.2,4.06,0
D,12-08-1997,19.5,4.06,0
D,12-08-2009,18.8,4.06,0
D,13-05-1996,5,4.06,0
D,13-06-1997,14,4.06,0
D,13-06-2007,12.9,4.06,0
D,13-06-2012,13.9,4.06,0
D,13-07-2005,22.1,4.06,0
D,13-08-2008,19.4,4.06,0
D,13-08-2014,21.2,4.06,0
D,14-05-1997,7,4.06,0
D,14-05-2002,7.2,4.06,0
D,14-05-2003,7.6,4.06,0
D,14-05-2004,6.0999999046,4.06,0
D,14-06-1995,18.1,4.06,0
D,14-06-2002,11.5,4.06,0
D,14-07-2006,21.8,4.06,0
D,14-08-1998,22,4.06,0
D,14-08-2006,19.6,4.06,0
D,15-05-2013,4.4,4.06,0
D,15-06-2005,11.8,4.06,0
D,15-06-2011,15.2,4.06,0
D,15-07-1997,21.5,4.06,0
D,15-07-2009,14.3,4.06,0
D,15-08-1996,20,4.06,0
D,15-08-2001,19.2,4.06,0
D,16-05-1999,8,4.06,0
D,16-05-2007,9.8,4.06,0
D,16-05-2012,8.4,4.06,0
D,16-06-2006,12.8,4.06,0
D,16-06-2010,11.7,4.06,0
D,16-07-2000,20,4.06,0
D,16-07-2008,19,4.06,0
D,16-07-2014,20.4,4.06,0
D,17-06-2009,13.5,4.06,0
D,17-07-1996,19,4.06,0
D,17-08-2000,19,4.06,0
D,18-05-2005,7.2,4.06,0
D,18-05-2011,6.5,4.06,0
D,18-06-2000,13,4.06,0
D,18-06-2008,14,4.06,0
D,18-06-2014,12.5,4.06,0
D,18-07-1999,,4.06,0
D,18-07-2001,19.5,4.06,0
D,18-07-2003,19.9,4.06,0
D,18-07-2011,21.4,4.06,0
D,18-08-1999,20,4.06,0
D,18-08-2004,17.8999996185,4.06,0
D,19-05-2006,11.1,4.06,0
D,19-05-2010,9.6,4.06,0
D,19-07-1994,,4.06,0
D,19-07-1995,,4.06,0
D,19-07-2010,19.1,4.06,0
D,20-06-2001,15,4.06,0
D,20-08-2002,17,4.06,0
D,21-05-2008,7.6,4.06,0
D,21-05-2014,5.8,4.06,0
D,21-08-2013,21.2,4.06,0
D,22-06-1998,14,4.06,0
D,22-06-2004,12.6999998093,4.06,0
D,22-08-2012,20.9,4.06,0
D,23-05-1995,8.5,4.06,0
D,23-05-2001,11.1,4.06,0
D,23-07-2004,19.7000007629,4.06,0
D,24-06-1996,13,4.06,0
D,24-07-1998,19,4.06,0
D,24-07-2013,20.1,4.06,0
D,24-08-2010,18.8,4.06,0
D,24-08-2011,20.1,4.06,0
D,25-05-1998,11.5,4.06,0
D,25-05-2009,6.8,4.06,0
D,25-06-2003,15.4,4.06,0
D,25-07-2007,22.5,4.06,0
D,25-08-1995,18,4.06,0
D,25-08-2006,19.5,4.06,0
D,26-06-2002,17.5,4.06,0
D,26-06-2013,16.1,4.06,0
D,26-08-1994,15,4.06,0
D,26-08-2009,18,4.06,0
D,27-05-1996,9,4.06,0
D,27-05-2004,8.3000001907,4.06,0
D,27-06-2007,15.8,4.06,0
D,27-07-2005,19.1,4.06,0
D,27-07-2011,19.8,4.06,0
D,27-08-1999,19.5,4.06,0
D,27-08-2007,17.2,4.06,0
D,27-08-2008,18.8,4.06,0
D,28-05-2003,11.3,4.06,0
D,28-07-2006,23.2,4.06,0
D,28-07-2010,21.2,4.06,0
D,28-08-1996,21,4.06,0
D,29-05-2013,9.1,4.06,0
D,29-06-2005,14.9,4.06,0
D,29-06-2011,17.5,4.06,0
D,29-07-1996,21,4.06,0
D,29-07-1997,21.5,4.06,0
D,29-07-2009,19,4.06,0
D,29-08-2003,19,4.06,0
D,30-05-1997,11.5,4.06,0
D,30-05-2007,10.3,4.06,0
D,30-05-2012,10.3,4.06,0
D,30-06-1997,16.5,4.06,0
D,30-06-2006,19,4.06,0
D,30-06-2009,16.2,4.06,0
D,30-06-2010,18.1,4.06,0
D,30-07-2008,20.4,4.06,0
D,30-07-2012,21.9,4.06,0
D,30-07-2014,21.1,4.06,0
D,30-08-2001,19,4.06,0
D,31-05-2000,11.5,4.06,0
E,14-07-2005,21.8,4.06,0
E,19-08-1994,,4.06,0
K,01-06-2004,8.8999996185,4.06,0
K,01-06-2007,12.2,4.06,0
K,01-06-2012,13.5,4.06,0
K,01-08-2003,22.6,4.06,0
K,01-08-2008,21,4.06,0
K,01-08-2014,22.5,4.06,0
K,02-06-1997,17,4.06,0
K,02-07-1998,18,4.06,0
K,02-07-2010,20.9,4.06,0
K,02-09-1998,19.5,4.06,0
K,02-11-2006,5.1,4.06,0
K,03-06-2011,10.7,4.06,0
K,03-07-2009,19.6,4.06,0
K,03-08-2005,21.7,4.06,0
K,04-05-2007,6.3,4.06,0
K,04-05-2012,5.5,4.06,0
K,04-06-1998,11,4.06,0
K,04-06-2010,11.5,4.06,0
K,04-07-2003,19.8,4.06,0
K,04-07-2014,18,4.06,0
K,04-08-1998,21.5,4.06,0
K,04-08-2004,20.6000003815,4.06,0
K,05-05-2006,7.4,4.06,0
K,05-06-2009,10.7,4.06,0
K,05-07-2008,20.8,4.06,0
K,05-10-2006,13.9,4.06,0
K,06-05-1997,4,4.06,0
K,06-06-2003,14.3,4.06,0
K,06-06-2008,13.9,4.06,0
K,06-06-2014,13,4.06,0
K,06-07-1997,18,4.06,0
K,06-07-2005,19.6,4.06,0
K,07-05-2010,6.2,4.06,0
K,07-06-2001,13.5,4.06,0
K,07-06-2002,13,4.06,0
K,07-06-2006,16.9,4.06,0
K,07-08-1997,26,4.06,0
K,07-09-2006,20.4,4.06,0
K,07-11-2007,7.2,4.06,0
K,08-05-1995,5,4.06,0
K,08-05-1998,8.5,4.06,0
K,08-05-2001,6.5,4.06,0
K,08-05-2009,3.9,4.06,0
K,08-06-2005,12.1,4.06,0
K,08-08-2002,19.5,4.06,0
K,09-05-2002,5,4.06,0
K,09-05-2008,5.6,4.06,0
K,09-06-1999,15,4.06,0
K,09-07-2004,17.7000007629,4.06,0
K,09-08-2006,20.9,4.06,0
K,09-08-2013,19.5,4.06,0
K,10-07-2000,21,4.06,0
K,10-07-2002,20,4.06,0
K,10-08-2007,22,4.06,0
K,10-08-2012,22,4.06,0
K,10-10-2007,12.3,4.06,0
K,11-05-1999,7,4.06,0
K,11-06-2004,11.1999998093,4.06,0
K,11-08-1995,17,4.06,0
K,11-08-1996,19,4.06,0
K,11-08-2000,21.5,4.06,0
K,12-05-2003,9.6,4.06,0
K,12-05-2005,7,4.06,0
K,12-06-1996,17.5,4.06,0
K,12-07-1994,19.5,4.06,0
K,12-07-1996,20,4.06,0
K,12-07-1999,20.5,4.06,0
K,12-07-2006,22.1,4.06,0
K,12-07-2013,23.1,4.06,0
K,12-08-1999,20.5,4.06,0
K,12-08-2011,22.1,4.06,0
K,13-06-1995,18,4.06,0
K,13-07-2007,21.4,4.06,0
K,13-07-2012,25,4.06,0
K,13-08-2001,21.8,4.06,0
K,13-08-2010,22.6,4.06,0
K,14-06-2000,15,4.06,0
K,14-06-2006,15.8,4.06,0
K,14-06-2013,15.5,4.06,0
K,14-08-2009,20.4,4.06,0
K,15-05-2000,9.5,4.06,0
K,15-06-2007,17.2,4.06,0
K,15-06-2012,15.3,4.06,0
K,15-07-1995,23.5,4.06,0
K,15-07-2003,20.1,4.06,0
K,15-07-2011,21.6,4.06,0
K,15-08-2003,23.9,4.06,0
K,15-08-2008,21.4,4.06,0
K,15-08-2014,22.6,4.06,0
K,16-07-2010,20.3,4.06,0
K,17-02-2007,0.4,4.06,0
K,17-05-1995,8.5,4.06,0
K,17-05-1996,6,4.06,0
K,17-05-2004,8.1000003815,4.06,0
K,17-05-2006,13.7,4.06,0
K,17-05-2013,5.6,4.06,0
K,17-06-1998,14.5,4.06,0
K,17-06-2011,16.9,4.06,0
K,17-07-2001,20,4.06,0
K,17-07-2009,17.2,4.06,0
K,17-07-2014,20.8,4.06,0
K,17-08-1994,20,4.06,0
K,17-08-2005,18.4,4.06,0
K,17-09-2008,16.6,4.06,0
K,17-11-2006,2.4,4.06,0
K,18-05-2007,11.5,4.06,0
K,18-05-2012,9.9,4.06,0
K,18-06-1997,18,4.06,0
K,18-06-2001,16.5,4.06,0
K,18-06-2010,15.6,4.06,0
K,18-07-2008,20.3,4.06,0
K,18-08-1997,18,4.06,0
K,19-06-2009,17.8,4.06,0
K,19-10-2006,8.9,4.06,0
K,20-05-2011,10.4,4.06,0
K,20-06-2008,16.2,4.06,0
K,20-06-2014,14.4,4.06,0
K,20-07-2004,22.7999992371,4.06,0
K,20-07-2005,20.3,4.06,0
K,21-05-1998,15,4.06,0
