YEAR,LAKE,Date,Date2,DOY,pH_surface,SRP_ug_L,TDP_ug_L,TDN_ug_L,RunNo,NO2_ug_L,NH4_ug_L,DOC_mg_L,TIC_mg_L,SO4_mg_L,Si_mg_L,NO3_ug_L
1994,B,04-Jul-94,1994-07-04,185,7.7,163,,706.8,,,,11.7,,,,
1994,B,18-Jul-94,1994-07-18,199,8.35,71,,657,,,,14.3,,,,
1994,B,28-Jul-94,1994-07-28,209,9.25,181,,637,,,,9.71,,,,
1994,B,18-Aug-94,1994-08-18,230,8.1,112,,312,,,,18.12,,,,
1995,B,04-May-95,1995-05-04,124,7.85,20,,,,,230,1.1,,,,1000
1995,B,16-May-95,1995-05-16,136,7.5,0.1,,,,,50,2.1,,,,360
1995,B,26-May-95,1995-05-26,146,8.08,10,,,,,100,5.2,,,,30
1995,B,09-Jun-95,1995-06-09,160,7.71,10,,,,,40,5.2,,,,0
1995,B,23-Jun-95,1995-06-23,174,8.17,30,,,,,60,5.3,,,,0
1995,B,11-Jul-95,1995-07-11,192,7.6,30,,,,,90,5.6,,,,0
1995,B,21-Jul-95,1995-07-21,202,8.15,,,,,,,,,,,
1995,B,02-Aug-95,1995-08-02,214,8.1,50,,,,,680,28,,,,440
1995,B,24-Aug-95,1995-08-24,236,8.43,50,,,,,20,3.8,,,,610
1996,B,08-May-96,1996-05-08,129,7.9,10,,,,,35,1.82,,,,11
1996,B,22-May-96,1996-05-22,143,8.01,19,,,,,10,6.52,,,,54
1996,B,06-Jun-96,1996-06-06,158,8.15,6,,,,,30,2.98,,,,22
1996,B,18-Jun-96,1996-06-18,170,,6,,,,,10,6.84,,,,22
1996,B,03-Jul-96,1996-07-03,185,8.69,3,,,,,7,4.56,,,,11
1996,B,19-Jul-96,1996-07-19,201,8.56,22,,,,,11,4.35,,,,32
1996,B,02-Aug-96,1996-08-02,215,8.27,16,,,,,18,7.33,,,,32
1996,B,19-Aug-96,1996-08-19,232,8.9,38,,,,,78,3.81,,,,119
1997,B,08-May-97,1997-05-08,128,9.41,17,,,,,8,19.77,,,,4
1997,B,26-May-97,1997-05-26,146,9.06,10,,,,,8,6.2,,,,2
1997,B,09-Jun-97,1997-06-09,160,8.95,10,,,,,8,4.82,,,,10
1997,B,25-Jun-97,1997-06-25,176,8.97,27,,,,,80,13.65,,,,438
1997,B,08-Jul-97,1997-07-08,189,8.28,7,,,,,8,5.91,,,,2
1997,B,24-Jul-97,1997-07-24,205,8.18,17,,,,,32,6.61,,,,13
1997,B,05-Aug-97,1997-08-05,217,8.53,7,,,,,136,8.63,,,,8
1997,B,21-Aug-97,1997-08-21,233,8.5,7,,,,,112,5.28,,,,10
1998,B,15-May-98,1998-05-15,135,7.1,5,25,450,,,30,6.69,16.24,,,60
1998,B,01-Jun-98,1998-06-01,152,9.1,5,30,350,,,33,4.17,11.2,,,50
1998,B,15-Jun-98,1998-06-15,166,9,5,30,350,,,60,2.9,11.23,,,30
1998,B,30-Jun-98,1998-06-30,181,9.2,2.5,80,350,,,12,6.51,15.42,,,10
1998,B,15-Jul-98,1998-07-15,196,9.3,5,20,300,,,15,6.42,13.3,,,10
1998,B,31-Jul-98,1998-07-31,212,9.6,5,20,400,,,2,7.18,24.85,,,10
1998,B,21-Aug-98,1998-08-21,233,9.2,5,25,400,,,3,7.97,19.37,,,5
1998,B,22-Sep-98,1998-09-22,265,9.5,16,65,700,,,78,8.68,27.64,,,30
1999,B,05-May-99,1999-05-05,125,,100,,560,,,78,8.56,22.51,,,4
1999,B,17-May-99,1999-05-17,137,7.9,10,,410,,,14,7.77,24.7,,,7
1999,B,30-May-99,1999-05-30,150,8.3,0.11,,525,,,2,7.11,30.16,,,0
1999,B,14-Jun-99,1999-06-14,165,8.6,0.1,,525,,,2,7.46,28.08,,,0
1999,B,04-Jul-99,1999-07-04,185,9.1,30,,1350,,,201,9.5,27.31,,,14
1999,B,13-Jul-99,1999-07-13,194,9.2,20,,525,,,0,8.94,27.86,,,4
1999,B,06-Aug-99,1999-08-06,218,9.4,2200,,1125,,,440,10.41,24.58,,,14
1999,B,20-Aug-99,1999-08-20,232,7.3,30,,1200,,,328,12.8,26.09,,,28
1999,B,28-Aug-99,1999-08-28,240,8,10,,640,,,3,9.98,27.81,,,21
2000,B,07-May-00,2000-05-07,128,7.8,2,,,,,0,6.43,43.76,,,15
2000,B,19-May-00,2000-05-19,140,8.09,,,,,,0,5.83,43.14,,,12
2000,B,05-Jun-00,2000-06-05,157,8.32,8,,,,,0,5.26,42.57,,,12
2000,B,20-Jun-00,2000-06-20,172,8.34,27,,,,,19,6.29,41.9,,,10
2000,B,07-Jul-00,2000-07-07,189,8.08,65,,,,,18,5.48,37.21,,,11
2000,B,24-Jul-00,2000-07-24,206,8.09,18,,,,,17,5.91,33.85,,,9
2000,B,08-Aug-00,2000-08-08,221,,76,,,,,14,5.62,36.32,,,8
2000,B,22-Aug-00,2000-08-22,235,,16,,,,,25,7.96,34.35,,,10
2001,B,04-May-01,2001-05-04,124,8.59,,17.2,218.2,54,,9.8,4.95,14.34,,,9.1
2001,B,16-May-01,2001-05-16,136,8.64,,,,27,,,1.4,18.69,,,
2001,B,06-Jun-01,2001-06-06,157,8.57,,93.6,616.9,41,,2.9,5.83,51.17,,,181.3
2001,B,15-Jun-01,2001-06-15,166,9.02,,18.4,351.7,38,,4.9,5.28,52.28,,,137.5
2001,B,25-Jun-01,2001-06-25,176,8.63,,40.6,328.6,44,,0,5.49,47.97,,,103.1
2001,B,13-Jul-01,2001-07-13,194,8.89,,11.8,399.8,55,,0,4.01,45.43,,,100.4
2001,B,27-Jul-01,2001-07-27,208,6.81,,16.2,384.5,36,,15.2,6.18,42.44,,,94.8
2001,B,09-Aug-01,2001-08-09,221,8.73,,13.6,394.4,45,,0,6.77,42.06,,,101.4
2001,B,28-Aug-01,2001-08-28,240,8.93,,14.9,408.2,47,,0,5.62,40.83,,,42
2002,B,08-May-02,2002-05-08,128,9.61,,12,296.1,9,,4,7.4,,,,5
2002,B,23-May-02,2002-05-23,143,7.93,,16,387.6,30,,1,4.53,,,,35
2002,B,05-Jun-02,2002-06-05,156,8.21,,29,462.1,39,,27,17.98,,,,228
2002,B,20-Jun-02,2002-06-20,171,7.05,,25,793.7,19,,26,4.76,,,,37
2002,B,03-Jul-02,2002-07-03,184,7.8,,40,414.9,20,,13,6.04,,,,72
2002,B,22-Jul-02,2002-07-22,203,8.7,,31,419.7,18,,12,5.57,,,,33
2002,B,06-Aug-02,2002-08-06,218,7.6,,13,1280,16,,9,6.5,,,,8
2002,B,19-Aug-02,2002-08-19,231,8.86,,98,474.6,40,,12,5.33,,,,52
2003,B,06-May-03,2003-05-06,126,8.47,,18,370.1,,,0,5.42,38.13,103.26,,33
2003,B,21-May-03,2003-05-21,141,8.22,,10,339.9,,,0,4.45,37.29,102.84,,23
2003,B,04-Jun-03,2003-06-04,155,8.87,,15,417.4,,,0,6.86,35.52,101.39,,42
2003,B,20-Jun-03,2003-06-20,171,8.83,,30,493.8,,,0,5.58,31.51,110.16,,48
2003,B,27-Jun-03,2003-06-27,178,9.09,,17,462.3,,,0,4.43,31.62,113.92,,31
2003,B,14-Jul-03,2003-07-14,195,9.02,,40,490.7,,,0,4.79,29.84,115.4,,18
2003,B,29-Jul-03,2003-07-29,210,9.43,,18,505.6,,,0,5.48,24.18,124.49,,37
2003,B,13-Aug-03,2003-08-13,225,9.47,,56,452.1,,,0,5.73,27.96,110.85,,0
2003,B,20-Aug-03,2003-08-20,232,9.19,,132,414.9,,,0,5.72,29.04,113.23,,0
2004,B,07-May-04,2004-05-07,128,8.52,7.2,14.2,373.35,,56.11,0,3.9,34.09,,,29.32
2004,B,26-May-04,2004-05-26,147,8.9,4.5,10.8,342.94,,0.17,15.35,4.75,33.94,,,33.52
2004,B,04-Jun-04,2004-06-04,156,8.7,7.3,13.3,266.21,,0.61,20.8,3.96,32.69,,,105.34
2004,B,16-Jun-04,2004-06-16,168,8.9,4.8,11.7,283.41,,30.7,,4.66,,,,43.96
2004,B,28-Jun-04,2004-06-28,180,8.9,7.6,18,334.23,,0.72,,4.52,,,,114.6
2004,B,12-Jul-04,2004-07-12,194,8.8,8.8,16,462.2,,4.99,11.9,4.85,,,,7.36
2004,B,29-Jul-04,2004-07-29,211,8.9,4,24,535.14,,0.61,1.85,5.77,,,,2.49
2004,B,11-Aug-04,2004-08-11,224,8.9,5.6,16.5,709.5,,2.14,136.56,6.01,,,,8.64
2005,B,10-May-05,2005-05-10,130,9.4,8.5,17.4,349.8,,,25.2,4.74,30.83,,,15.2
2005,B,20-May-05,2005-05-20,140,9.3,10.6,18.4,473.89,,,41.2,3.91,33.37,,,8.11
2005,B,03-Jun-05,2005-06-03,154,8.9,13.7,21.2,418.1,,,33.8,3.15,31.6,,,11.9
2005,B,17-Jun-05,2005-06-17,168,8.9,14.7,29.6,345.08,,,28.9,2.94,32.31,,,9.92
2005,B,30-Jun-05,2005-06-30,181,9.3,35.2,45.3,437.98,,,29.2,2.58,31.85,,,8.02
2005,B,15-Jul-05,2005-07-15,196,9.3,38.6,48.1,376.7,,,40.2,3.59,28.59,,,9.3
2005,B,29-Jul-05,2005-07-29,210,9.7,4.7,23,525,,,51.9,4.58,26.03,,,6.76
2005,B,11-Aug-05,2005-08-11,223,9.6,10.6,23,576.2,,,126,3.51,23.73,,,14.8
2006,B,08-May-06,2006-05-08,128,8.8,4.12,19.01,378.44,74807,,30.5,16.57,28.88,,,3.56
2006,B,23-May-06,2006-05-23,143,9.1,9.47,20.3,393.87,74815,,26.7,14.45,30.32,,,8.13
2006,B,05-Jun-06,2006-06-05,156,9.4,4.23,13.28,384.59,74823,,33.7,12.88,30.86,,,4.41
2006,B,19-Jun-06,2006-06-19,170,9.4,10.25,20.59,434,74831,,45.3,9.36,29.93,,,7
2006,B,04-Jul-06,2006-07-04,185,9.4,12.14,24.66,471.2,74840,,28,10.45,29.14,,,34.8
2006,B,17-Jul-06,2006-07-17,198,9.5,10.91,22.94,523.8,74848,,52,9.4,27.94,,,12.2
2006,B,31-Jul-06,2006-07-31,212,9.5,18.54,31.55,532.1,74857,,46.3,9.68,25.58,,,23.9
2006,B,11-Aug-06,2006-08-11,223,10.1,7.97,19.28,510.63,74863,,18.9,12.14,26.2,,,3.37
2006,B,28-Aug-06,2006-08-28,240,10.2,13.55,27.71,542.4,74872,,22,10.35,25.64,,,12.6
2007,B,07-May-07,2007-05-07,127,8.6,9,15,519,,,0.2,9.61,30.51,99.19,0.07,169
2007,B,22-May-07,2007-05-22,142,8.6,12,25,626,,,0.2,8.83,30.91,100.31,0.08,303
2007,B,04-Jun-07,2007-06-04,155,9,4,14,495,,,0.2,9.56,30.81,101.8,0.07,166
2007,B,19-Jun-07,2007-06-19,170,8.5,5,15,596,,,0.2,9.29,29.01,100.83,0.58,267
2007,B,03-Jul-07,2007-07-03,184,8.7,8,16,585,,,0.2,9.42,28.97,101,0.69,200
2007,B,16-Jul-07,2007-07-16,197,8.5,8,17,531,,,0.2,8.19,28,105.46,2.21,180
2007,B,30-Jul-07,2007-07-30,211,8.9,6,13,469,,,0.2,8.99,27.67,107.91,3.16,145
2007,B,13-Aug-07,2007-08-13,225,8.9,12,20,493,,,0.2,8.13,26.01,112.6,4.58,178
2007,B,22-Aug-07,2007-08-22,234,8.6,10,20,490,,,0.2,9.07,27.16,116.93,4.42,169
2008,B,12-May-08,2008-05-12,133,8.5,6,13.6,452,,,0.2,6.77,39.24,,0,88
2008,B,26-May-08,2008-05-26,147,8.5,26,35.6,541,,,0.2,5.99,38.2,,0,172
2008,B,09-Jun-08,2008-06-09,161,8.7,15,21.2,521,,,0.2,5.89,39.03,,0,158
2008,B,23-Jun-08,2008-06-23,175,8.4,33,42,508,,,0.2,5.98,37.49,,0,158
2008,B,07-Jul-08,2008-07-07,189,8.5,10,18.1,434,,,0.2,5.91,37.33,,0,103
2008,B,21-Jul-08,2008-07-21,203,8.8,12,19.5,473,,,0.2,5.41,35.1,,0,140
2008,B,05-Aug-08,2008-08-05,218,9.1,1,9.01,491,,,11,6.56,34.53,,0,5
2008,B,18-Aug-08,2008-08-18,231,8.9,5,13.6,549,,,11,5.35,30.96,,0,93
2008,B,02-Sep-08,2008-09-02,246,8.9,5,14.7,541,,,0.2,6.49,31.35,,0,129
2009,B,11-May-09,2009-05-11,125,8.6,24,46,499,,,0.2,7.34,38.83,,0,136
2009,B,20-May-09,2009-05-20,140,8.8,13,28,438,,,9,7.31,42.19,,0,118
2009,B,08-Jun-09,2009-06-08,159,8.7,9,18,327,,,7,6.87,38.52,,0,21
2009,B,22-Jun-09,2009-06-22,173,9.2,26,49,467,,,0.2,8.6,34.33,,0,157
2009,B,06-Jul-09,2009-07-06,187,8.7,6,15,361,,,0.2,6.47,36.88,,0,56
2009,B,20-Jul-09,2009-07-20,201,8.8,11,25,485,,,0.2,8.73,34.42,,0,163
2009,B,04-Aug-09,2009-08-04,216,9.2,20,43,560,,,0.2,10.56,35.62,,0,228
2009,B,17-Aug-09,2009-08-17,229,9.8,5,20,463,,,5,9.27,34.92,,0,43
2009,B,31-Aug-09,2009-08-31,243,8,25,49,567,,,8,7.05,37.7,,0,145
2010,B,10-May-10,2010-05-10,130,8.7,12,20,329,,,0.2,18.19,29.26,,0,61
2010,B,25-May-10,2010-05-25,145,8.6,13,23,363,,,0.2,21.21,28.61,,0,70
2010,B,07-Jun-10,2010-06-07,158,8.9,9,20,578,,,0.2,19.04,29.82,,0,181
2010,B,21-Jun-10,2010-06-21,172,9.5,9,20,393,,,0.2,17.7,30.66,,0,69
2010,B,05-Jul-10,2010-07-05,186,9.3,15,26,490,,,0.2,13.55,25.89,,0,120
2010,B,14-Jul-10,2010-07-14,195,8.4,10,22,487,,,0.2,15.44,25.35,,0,67
2010,B,03-Aug-10,2010-08-03,215,9.7,31,54,694,,,0.2,12.49,23.55,,0,226
2010,B,16-Aug-10,2010-08-16,228,10.3,10,28,604,,,24,19.43,24.96,,0,44
2010,B,30-Aug-10,2010-08-30,242,10.3,11,28,660,,,23,16.45,23.26,,0,88
2011,B,09-May-11,2011-05-09,129,8.8,39,54,800,,,0.2,2.58,31.68,,0,390
2011,B,24-May-11,2011-05-24,144,8.6,13,21,521,,,0.2,3.68,34.87,,0,152
2011,B,06-Jun-11,2011-06-06,157,8.8,12,22,424,,,0.2,2.96,34.93,,0,12
2011,B,20-Jun-11,2011-06-20,171,8.7,33,40,547,,,0.2,1.76,37.1,,0,104
2011,B,04-Jul-11,2011-07-04,185,9.2,57,64,740,,,0.2,3.69,36.07,,0,169
2011,B,13-Jul-11,2011-07-13,194,9.6,37,33,617,,,0.2,2.88,37.54,,0,63
2011,B,02-Aug-11,2011-08-02,214,8.2,156,132,643,,,0.2,4.25,35.68,,0,14
2011,B,15-Aug-11,2011-08-15,227,9,64,60,632,,,0.2,6.84,32.08,,0,56
2011,B,29-Aug-11,2011-08-29,241,8.8,39,45,597,,,0.2,4.61,31.57,,0,5
2012,B,07-May-12,2012-05-07,128,8.8,20,28,399,,,0.2,8.5,44.73,,0,40
2012,B,22-May-12,2012-05-22,143,8.6,12,21,430,,,0.2,0.45,46.14,,0,48
2012,B,04-Jun-12,2012-06-04,156,8.6,20,31,432,,,0.2,31.07,43.68,,0,66
2012,B,18-Jun-12,2012-06-18,170,8.6,13,23,480,,,0.2,4.46,46.31,,0,88
2012,B,28-Jun-12,2012-06-28,180,8.65,8,15,463,,,0.2,6.12,42.12,,0,110
2012,B,16-Jul-12,2012-07-16,198,8.22,42,53,748,,,0.2,3.85,42.21,,0,373
2012,B,25-Jul-12,2012-07-25,207,8.72,33,45,634,,,0.2,2.19,40.77,,0,183
2012,B,13-Aug-12,2012-08-13,226,9.14,47,51,631,,,36,4.04,31.84,,0,17
2012,B,27-Aug-12,2012-08-27,240,8.63,107,121,1110,,,130,10.36,41.66,,0,58
2013,B,21-May-13,2013-05-21,141,8.72,25,30,617,,,0.3,4.91,30.93,,0,184
2013,B,03-Jun-13,2013-06-03,154,8.56,16,19,445,,,16,4.84,34.02,,0,10
2013,B,17-Jun-13,2013-06-17,168,8.63,18,24,475,,,0.3,4.9,37.24,,0,39
2013,B,02-Jul-13,2013-07-02,183,9.78,27,34,523,,,27,5.04,35.06,,0,22
2013,B,15-Jul-13,2013-07-15,196,10.2,20,22,555,,,0.3,5.14,33.17,,0,67
2013,B,29-Jul-13,2013-07-29,210,9,24,28,605,,,20,5.34,32.34,,0,63
2013,B,12-Aug-13,2013-08-12,224,9.3,4,10,618,,,30,5.92,30.67,,0,10
2013,B,26-Aug-13,2013-08-26,238,9.2,8,18,608,,,9,6.08,29.62,,0,11
2014,B,12-May-14,2014-05-12,132,8.3,59,71,831,,,0.3,11.43,51.08,,0,376
2014,B,26-May-14,2014-05-26,146,8.3,13,25,490,,,0.3,5.83,31.99,,0,47
2014,B,09-Jun-14,2014-06-09,160,8.7,25,37,594,,,0.3,5.93,33.32,,0,164
2014,B,23-Jun-14,2014-06-23,174,9.1,29,32,558,,,0.3,6.33,34.2,,0,57
2014,B,07-Jul-14,2014-07-07,188,9.8,81,95,1160,,,0.3,6.87,33.98,,0,581
2014,B,21-Jul-14,2014-07-21,202,9,17,31,776,,,63,7.44,35.45,,0,31
2014,B,05-Aug-14,2014-08-05,217,9.1,23,33,672,,,6,7.96,35.92,,0,3
2014,B,18-Aug-14,2014-08-18,230,8.7,53,66,732,,,0.3,8.21,37.25,,0,45
1994,C,05-Jul-94,1994-07-05,186,9.2,510,,1091,,,,3.1,,,,
1994,C,22-Jul-94,1994-07-22,203,8.65,724,,1811,,,,7.01,,,,
1994,C,03-Aug-94,1994-08-03,215,8.8,685,,723.1,,,,17.31,,,,
1994,C,23-Aug-94,1994-08-23,235,9.75,489,,623.1,,,,14.83,,,,
1995,C,15-May-95,1995-05-15,135,7.93,110,,,,,160,19,,,,460
1995,C,19-May-95,1995-05-19,139,,,,,,,,,,,,
1995,C,29-May-95,1995-05-29,149,8.07,20,,,,,20,9,,,,280
1995,C,08-Jun-95,1995-06-08,159,8.2,30,,,,,140,10,,,,0
1995,C,21-Jun-95,1995-06-21,172,8.52,60,,,,,80,12,,,,0
1995,C,13-Jul-95,1995-07-13,194,8.79,,,,,,,,,,,
1995,C,26-Jul-95,1995-07-26,207,8.57,240,,,,,0,10,,,,1000
1995,C,15-Aug-95,1995-08-15,227,8.57,120,,,,,350,12,,,,0
1995,C,31-Aug-95,1995-08-31,243,,220,,,,,0,10,,,,1000
1996,C,17-May-96,1996-05-17,138,8.1,35,,,,,18,7.49,,,,130
1996,C,31-May-96,1996-05-31,152,8,10,,,,,48,14.14,,,,76
1996,C,13-Jun-96,1996-06-13,165,8.5,25,,,,,106,9.16,,,,162
1996,C,27-Jun-96,1996-06-27,179,8.7,19,,,,,18,7.37,,,,4
1996,C,15-Jul-96,1996-07-15,197,8.87,29,,,,,6,6.85,,,,173
1996,C,26-Jul-96,1996-07-26,208,8.6,324,,,,,78,13.33,,,,108
1996,C,14-Aug-96,1996-08-14,227,8.4,38,,,,,54,25.58,,,,28
1996,C,26-Aug-96,1996-08-26,239,8.69,32,,,,,30,7.79,,,,325
1997,C,20-May-97,1997-05-20,140,8.46,29,,,,,32,2.54,,,,13
1997,C,06-Jun-97,1997-06-06,157,8.69,26,,,,,8,5.08,,,,2
1997,C,20-Jun-97,1997-06-20,171,8.76,32,,,,,20,6.18,,,,13
1997,C,02-Jul-97,1997-07-02,183,8.16,29,,,,,115,5.82,,,,25
1997,C,19-Jul-97,1997-07-19,200,8.15,13,,,,,56,6.33,,,,13
1997,C,01-Aug-97,1997-08-01,213,8.46,10,,,,,8,7.22,,,,10
1997,C,15-Aug-97,1997-08-15,227,9.09,42,,,,,8,7.32,,,,3
1997,C,04-Sep-97,1997-09-04,247,,74,,,,,88,28.23,,,,8
1998,C,14-May-98,1998-05-14,134,9.5,11,65,650,,,42,9.62,39.23,,,40
1998,C,28-May-98,1998-05-28,148,9.5,5,75,1000,,,36,10.29,37.32,,,10
1998,C,12-Jun-98,1998-06-12,163,9.4,5,25,450,,,72,10.25,36.27,,,30
1998,C,24-Jun-98,1998-06-24,175,9.4,11,35,950,,,66,9.81,22.72,,,10
1998,C,13-Jul-98,1998-07-13,194,9.8,5,35,1300,,,18,9.97,34.93,,,10
1998,C,29-Jul-98,1998-07-29,210,9.8,5,650,2000,,,3,10.69,38.24,,,10
1998,C,18-Aug-98,1998-08-18,230,9.1,22,95,850,,,96,10.71,37.8,,,30
1998,C,23-Sep-98,1998-09-23,266,9.5,121,220,900,,,222,12.46,47.97,,,30
1999,C,18-May-99,1999-05-18,138,8.2,10,,825,,,75,12.24,46.51,,,14
1999,C,03-Jun-99,1999-06-03,154,7.8,20,,710,,,0,11.22,40.62,,,0
1999,C,17-Jun-99,1999-06-17,168,8.2,20,,975,,,6,11.98,41.79,,,7
1999,C,05-Jul-99,1999-07-05,186,9.1,70,,1125,,,120,11.15,45.2,,,35
1999,C,15-Jul-99,1999-07-15,196,8.8,80,,1050,,,33,10.49,43.21,,,49
1999,C,26-Jul-99,1999-07-26,207,8.7,70,,710,,,3,11.81,51.27,,,14
1999,C,13-Aug-99,1999-08-13,225,7.8,30,,900,,,0,10.33,51.9,,,42
1999,C,22-Aug-99,1999-08-22,234,8.8,50,,825,,,2,10.23,39.08,,,21
2000,C,05-May-00,2000-05-05,126,7.9,5,,,,,0,11.74,49.04,,,38
2000,C,19-May-00,2000-05-19,140,8.27,12,,,,,0,9.57,60.21,,,43
2000,C,14-Jun-00,2000-06-14,166,8.4,82,,,,,0,9.61,61,,,40
2000,C,28-Jun-00,2000-06-28,180,8.2,36,,,,,32,9.49,61.45,,,46
2000,C,14-Jul-00,2000-07-14,196,8.3,30,,,,,2,8.99,55.72,,,41
2000,C,30-Jul-00,2000-07-30,212,8.39,96,,,,,30,10.17,54.67,,,39
2000,C,12-Aug-00,2000-08-12,225,,299,,,,,61,8.54,51.52,,,40
2000,C,25-Aug-00,2000-08-25,238,,182,,,,,20,8.43,53.57,,,39
2001,C,16-May-01,2001-05-16,136,9.11,,41.5,722.2,11,,0,13.68,65.43,,,134.2
2001,C,01-Jun-01,2001-06-01,152,8.65,,28.7,696.4,39,,0,11.04,67.52,,,17.8
2001,C,13-Jun-01,2001-06-13,164,8.49,,33.4,746.3,9,,0,12.43,69.98,,,105.6
2001,C,26-Jun-01,2001-06-26,177,8.57,,43.7,517.2,43,,0,10.25,69.31,,,18.4
2001,C,12-Jul-01,2001-07-12,193,8.81,,46.7,709.2,52,,59.8,10.22,69.45,,,18.9
2001,C,25-Jul-01,2001-07-25,206,8.92,,32.5,722.2,34,,0,11.49,66.22,,,35.9
2001,C,08-Aug-01,2001-08-08,220,9.36,,58.2,722.6,50,,0,10.93,59.99,,,28
2001,C,22-Aug-01,2001-08-22,234,9.35,,127.5,762.6,49,,9.8,11.39,60.78,,,7
2002,C,13-May-02,2002-05-13,133,8.75,,124,853.8,34,,15,9.71,,,,105
2002,C,27-May-02,2002-05-27,147,8.48,,58,864,5,,26,17.28,,,,16
2002,C,11-Jun-02,2002-06-11,162,8.36,,58,804.4,21,,7,12.43,,,,58
2002,C,21-Jun-02,2002-06-21,172,8.04,,48,839.8,8,,47,9.36,,,,11
2002,C,05-Jul-02,2002-07-05,186,9.3,,60,709.1,26,,18,10.26,,,,40
2002,C,23-Jul-02,2002-07-23,204,9.2,,54,1101.9,1,,19,20.49,,,,203
2002,C,12-Aug-02,2002-08-12,224,7.5,,128,476.2,47,,18,11.29,,,,125
2002,C,28-Aug-02,2002-08-28,240,8.89,,232,1151.9,44,,35,10.93,,,,233
2003,C,13-May-03,2003-05-13,133,8.68,,96,766.8,,,0,12.06,53.85,428.65,,0
2003,C,26-May-03,2003-05-26,146,8.64,,103,778,,,0,10.64,54.34,438.87,,0
2003,C,09-Jun-03,2003-06-09,160,8.96,,110,648.9,,,0,10.76,57.48,443.3,,0
2003,C,24-Jun-03,2003-06-24,175,8.78,,161,799.4,,,0,9.63,55.2,454.35,,0
2003,C,07-Jul-03,2003-07-07,188,8.7,,193,766.5,,,0,9.58,56.25,446.99,,0
2003,C,16-Jul-03,2003-07-16,197,9,,219,815.6,,,0,9.4,55.6,447.35,,0
2003,C,05-Aug-03,2003-08-05,217,9.23,,211,791.1,,,0,10.25,52.84,450.9,,0
2003,C,18-Aug-03,2003-08-18,230,9.48,,278,810.6,,,0,10.81,53.19,441.85,,0
2004,C,06-May-04,2004-05-06,127,8.63,158.7,170.7,746.58,,0,1.43,12.68,58.85,,,207.7
2004,C,19-May-04,2004-05-19,140,8.8,109.9,128.4,898.4,,94.75,7.61,13.79,58.57,,,48.14
2004,C,02-Jun-04,2004-06-02,154,8.7,79.5,95.7,892.19,,46.39,9.65,11.57,57.68,,,18
2004,C,15-Jun-04,2004-06-15,167,8.7,104.1,111.2,855.45,,0.71,,11.24,,,,158.08
2004,C,29-Jun-04,2004-06-29,181,8.7,95,220,838.64,,0.85,,11.08,,,,179.73
2004,C,13-Jul-04,2004-07-13,195,8.7,93.4,106.5,939.74,,23.68,23.03,11.05,,,,39.76
2004,C,26-Jul-04,2004-07-26,208,8.9,71.8,101.2,952.28,,18.74,74.26,10.94,,,,27.2
2004,C,10-Aug-04,2004-08-10,223,8.9,128,148.2,895.41,,38.53,40.06,11.68,,,,53.91
