YEAR,LAKE,Date,Date2,DOY,pH_surface,SRP_ug_L,TDP_ug_L,TDN_ug_L,RunNo,NO2_ug_L,NH4_ug_L,DOC_mg_L,TIC_mg_L,SO4_mg_L,Si_mg_L,NO3_ug_L
2006,WC,09-Jun-06,2006-06-09,160,9.3,164.36,192.85,1135.21,74827,,51.6,20.23,42.67,,,4.79
2006,WC,26-Jun-06,2006-06-26,177,9.9,188.28,208.23,1085.48,74836,,62.2,18.17,36.98,,,4.52
2006,WC,10-Jul-06,2006-07-10,191,10.3,70.39,110.49,1208,74844,,79.8,17.9,31.79,,,22
2006,WC,25-Jul-06,2006-07-25,206,10.3,65,88,925,,,15,16.69,31.27,,,225
2006,WC,08-Aug-06,2006-08-08,220,10,141.44,176.69,1337.4,74860,,221,18.2,33.46,,,12.6
2006,WC,21-Aug-06,2006-08-21,233,10.1,123.03,165.09,1202.5,74868,,41,17.72,33.69,,,77.5
2007,WC,01-May-07,2007-05-01,121,8.6,169,210,1040,,,0.2,,,263.95,4.28,200
2007,WC,14-May-07,2007-05-14,134,8.6,177,200,1080,,,0.2,,,247.47,2.87,284
2007,WC,28-May-07,2007-05-28,148,8.9,144,180,945,,,0.2,,,295.44,2.91,162
2007,WC,11-Jun-07,2007-06-11,162,8.9,150,178,947,,,0.2,,,309.21,2.63,159
2007,WC,25-Jun-07,2007-06-25,176,9.3,97,133,1050,,,0.2,,,309.11,2.86,235
2007,WC,09-Jul-07,2007-07-09,190,9.1,64,93,1030,,,0.2,,,318.7,2.07,238
2007,WC,23-Jul-07,2007-07-23,204,9.3,82,107,1030,,,0.2,,,329.13,2.69,302
2007,WC,07-Aug-07,2007-08-07,219,8.9,132,154,1420,,,0.2,,,326.76,3.07,681
2007,WC,20-Aug-07,2007-08-20,232,9.1,124,139,1450,,,0.2,,,319.06,1.99,812
2008,WC,05-May-08,2008-05-05,126,9,19,43.2,1200,,,11,13.74,40.65,,0,228
2008,WC,20-May-08,2008-05-20,141,8.6,52,80.1,1430,,,5,14.2,42.08,,0,381
2008,WC,02-Jun-08,2008-06-02,154,8.9,8,25.9,1230,,,8,14.12,42.42,,0,184
2008,WC,16-Jun-08,2008-06-16,168,8.9,16,38.5,1320,,,8,16.26,42.18,,0,226
2008,WC,30-Jun-08,2008-06-30,182,9.2,2,16.4,1240,,,9,14.11,38.85,,0,156
2008,WC,14-Jul-08,2008-07-14,196,8.9,91,126,1980,,,12,15.36,38.23,,0,605
2008,WC,28-Jul-08,2008-07-28,210,9.3,113,155,1570,,,25,14.53,33.54,,0,71
2008,WC,11-Aug-08,2008-08-11,224,8.7,163,213,1700,,,10,15.91,35.76,,0,295
2008,WC,25-Aug-08,2008-08-25,238,9.1,160,205,1650,,,10,14.97,35.26,,0,277
2009,WC,04-May-09,2009-05-04,124,8.2,307,418,1770,,,4,18.16,36.94,,0,781
2009,WC,19-May-09,2009-05-19,139,8.5,323,463,1490,,,18,23.23,38.95,,0,434
2009,WC,01-Jun-09,2009-06-01,152,8.7,247,342,1240,,,0.2,20.9,42.53,,0,326
2009,WC,15-Jun-09,2009-06-15,166,9.4,157,254,1070,,,0.2,15.59,45.16,,0,116
2009,WC,29-Jun-09,2009-06-29,180,9.6,290,411,931,,,0.2,19.37,39.04,,0,74
2009,WC,13-Jul-09,2009-07-13,194,10.2,325,427,1030,,,0.2,25.64,43.38,,0,115
2009,WC,27-Jul-09,2009-07-27,208,10.5,364,493,1140,,,0.2,23.74,45.74,,0,202
2009,WC,10-Aug-09,2009-08-10,222,10.1,392,558,945,,,0.2,23.06,46.92,,0,35
2009,WC,24-Aug-09,2009-08-24,236,9.7,328,513,1230,,,0.2,12.47,46.88,,0,45
2010,WC,03-May-10,2010-05-03,123,7.7,450,468,1940,,,7,35.53,35.41,,0,900
2010,WC,17-May-10,2010-05-17,137,8.6,350,377,1330,,,5,35.81,40,,0,353
2010,WC,31-May-10,2010-05-31,151,8.5,285,335,1400,,,12,36.66,42.88,,0,443
2010,WC,14-Jun-10,2010-06-14,165,9.3,172,230,1150,,,7,36.44,43.39,,0,179
2010,WC,28-Jun-10,2010-06-28,179,8.7,327,392,1180,,,8,39.98,37.87,,0,77
2010,WC,12-Jul-10,2010-07-12,193,9.3,432,658,1550,,,5,40.01,46.05,,0,180
2010,WC,26-Jul-10,2010-07-26,207,9.6,615,918,1630,,,57,50.17,52.83,,0,2
2010,WC,09-Aug-10,2010-08-09,221,9.9,719,978,1680,,,49,42.02,54.58,,0,4
2010,WC,23-Aug-10,2010-08-23,235,8.7,643,1040,1610,,,31,54.51,54.19,,0,1
2011,WC,02-May-11,2011-05-02,122,8.1,358,340,1300,,,0.2,8.01,30.43,,0,668
2011,WC,16-May-11,2011-05-16,136,8.2,382,388,1090,,,0.2,9.18,43.15,,0,325
2011,WC,30-May-11,2011-05-30,150,9,446,466,1150,,,0.2,16.38,49.37,,0,259
2011,WC,13-Jun-11,2011-06-13,164,8.8,207,238,1680,,,0.2,16.43,57.38,,0,540
2011,WC,27-Jun-11,2011-06-27,178,8,582,551,1916,,,0.2,16.66,47.56,,0,982
2011,WC,11-Jul-11,2011-07-11,192,9.7,740,702,1742,,,0.2,24.79,68.97,,0,264
2011,WC,25-Jul-11,2011-07-25,206,8.6,635,717,1728,,,0.2,19.73,74.13,,0,118
2011,WC,08-Aug-11,2011-08-08,220,9.8,814,880,1808,,,0.2,26.13,76.42,,0,262
2011,WC,22-Aug-11,2011-08-22,234,8.3,563,586,1448,,,0.2,10.68,44.36,,0,764
2011,WC,07-Sep-11,2011-09-07,250,8.5,533,591,1198,,,0.2,10.73,43.25,,0,96
2011,WC,20-Sep-11,2011-09-20,263,9.3,525,538,1250,,,131,10.64,45.99,,0,60
2012,WC,01-May-12,2012-05-01,122,9.1,23,38,1420,,,0.2,10.23,57.17,,0,342
2012,WC,14-May-12,2012-05-14,135,8.9,128,149,1520,,,4,-1.03,73.19,,0,410
2012,WC,28-May-12,2012-05-28,149,8.7,237,226,3450,,,0.2,6.19,65.04,,0,540
2012,WC,11-Jun-12,2012-06-11,163,8.5,242,264,2950,,,0.2,6.9,59.83,,0,1790
2012,WC,25-Jun-12,2012-06-25,177,8.39,291,294,1780,,,0.2,7.76,64.93,,0,554
2012,WC,09-Jul-12,2012-07-09,191,9.01,521,575,2220,,,0.2,7.32,63.51,,0,1020
2012,WC,23-Jul-12,2012-07-23,205,9.16,441,483,1370,,,29,10.93,61.98,,0,63
2012,WC,07-Aug-12,2012-08-07,220,9.31,536,534,1260,,,32,8.05,60.74,,0,0.1
2012,WC,20-Aug-12,2012-08-20,233,9.02,25,46,1260,,,0.2,31.74,39.06,,0,221
2013,WC,13-May-13,2013-05-13,133,8.34,326,336,1540,,,0.3,,,,0,321
2013,WC,27-May-13,2013-05-27,147,8.34,530,534,1950,,,3,,,,0,718
2013,WC,10-Jun-13,2013-06-10,161,8.4,680,683,1800,,,10,,,,0,561
2013,WC,24-Jun-13,2013-06-24,175,9.04,450,473,1360,,,0.3,,,,0,553
2013,WC,08-Jul-13,2013-07-08,189,9.29,565,577,1520,,,0.3,,,,0,474
2013,WC,22-Jul-13,2013-07-22,203,8.8,511,532,1430,,,0.3,,,,0,238
2013,WC,06-Aug-13,2013-08-06,218,9.2,499,516,1100,,,19,,,,0,0.1
2013,WC,19-Aug-13,2013-08-19,231,9,569,584,1170,,,21,,,,0,0.1
2014,WC,05-May-14,2014-05-05,125,8.5,278,290,1340,,,0.3,,,,0,286
2014,WC,20-May-14,2014-05-20,140,8.6,251,264,1240,,,5,,,,0,70
2014,WC,02-Jun-14,2014-06-02,153,8.4,261,279,1350,,,0.3,,,,0,182
2014,WC,16-Jun-14,2014-06-16,167,7.6,333,346,1760,,,0.3,,,,0,677
2014,WC,30-Jun-14,2014-06-30,181,8.8,444,472,2280,,,0.3,,,,0,1197
2014,WC,14-Jul-14,2014-07-14,195,8.1,829,844,2290,,,113,,,,0,547
2014,WC,28-Jul-14,2014-07-28,209,8.5,923,939,2460,,,56,,,,0,298
2014,WC,11-Aug-14,2014-08-11,223,8.7,886,896,1920,,,0.3,,,,0,26
1996,WW,04-May-96,1996-05-04,125,7.7,457,,,,,24,12.87,,,,29.42
1996,WW,21-May-96,1996-05-21,142,7.8,73,,,,,595,,,,,64
1996,WW,04-Jun-96,1996-06-04,156,8.3,114,,,,,24,5.75,,,,22
1996,WW,14-Jun-96,1996-06-14,166,8.3,184,,,,,78,10.64,,,,32
1996,WW,28-Jun-96,1996-06-28,180,8.83,108,,,,,94,10.07,,,,97
1996,WW,08-Jul-96,1996-07-08,190,8.7,162,,,,,39,8.43,,,,1115
1996,WW,31-Jul-96,1996-07-31,213,9.15,19,,,,,36,13.51,,,,11
1996,WW,16-Aug-96,1996-08-16,229,9.9,16,,,,,18,14.92,,,,11
1997,WW,12-May-97,1997-05-12,132,9.5,209,,,,,56,34.3,,,,8
1997,WW,28-May-97,1997-05-28,148,7.88,129,,,,,32,15.75,,,,2
1997,WW,11-Jun-97,1997-06-11,162,8.98,249,,,,,115,9.61,,,,75
1997,WW,23-Jun-97,1997-06-23,174,9.2,169,,,,,20,12.32,,,,35
1997,WW,09-Jul-97,1997-07-09,190,9.19,63,,,,,80,10.72,,,,20
1997,WW,25-Jul-97,1997-07-25,206,8.2,54,,,,,68,16.65,,,,3
1997,WW,06-Aug-97,1997-08-06,218,9.5,10,,,,,36,11.79,,,,6
1997,WW,23-Aug-97,1997-08-23,235,9.05,10,,,,,48,11.8,,,,6
1997,WW,06-Sep-97,1997-09-06,249,,10,,,,,8,12.38,,,,4
1998,WW,04-May-98,1998-05-04,124,8.8,132,370,2950,,,645,14.94,35.03,,,20
1998,WW,20-May-98,1998-05-20,140,8.3,264,410,2484,,,1155,16.1,38.21,,,50
1998,WW,03-Jun-98,1998-06-03,154,9,341,515,2650,,,1215,15.51,39.25,,,100
1998,WW,18-Jun-98,1998-06-18,169,9.9,396,535,1250,,,156,16.64,34.75,,,150
1998,WW,03-Jul-98,1998-07-03,184,9.8,209,390,950,,,150,13.37,27.78,,,100
1998,WW,20-Jul-98,1998-07-20,201,9.9,165,405,600,,,72,10.75,15.22,,,5
1998,WW,05-Aug-98,1998-08-05,217,10.3,176,360,800,,,168,10.21,17.75,,,10
1998,WW,26-Aug-98,1998-08-26,238,10.4,28,125,1500,,,9,12.5,13.69,,,10
1998,WW,26-Sep-98,1998-09-26,269,,,,,,,,,,,,
1999,WW,02-May-99,1999-05-02,122,8,340,,1010,,,195,14.8,34.21,,,49
1999,WW,13-May-99,1999-05-13,133,9.8,230,,900,,,32,12.53,32.74,,,14
1999,WW,31-May-99,1999-05-31,151,8.35,60,,1575,,,75,13.39,36.6,,,21
1999,WW,15-Jun-99,1999-06-15,166,7.9,70,,1690,,,833,14.82,52.13,,,70
1999,WW,07-Jul-99,1999-07-07,188,9.6,60,,1460,,,4,14.18,37.73,,,14
1999,WW,20-Jul-99,1999-07-20,201,10.1,90,,1310,,,162,17.05,35.32,,,21
1999,WW,02-Aug-99,1999-08-02,214,10,40,,675,,,75,17.44,29.79,,,14
1999,WW,16-Aug-99,1999-08-16,228,8.3,50,,790,,,72,18.83,34.23,,,56
1999,WW,25-Sep-99,1999-09-25,268,9,10,,,,,2,17.85,29.55,,,7
2000,WW,01-May-00,2000-05-01,122,8.4,34,,,,,0,12.65,56.53,,,19
2000,WW,16-May-00,2000-05-16,137,8,,,,,,0,10.03,64.55,,,22
2000,WW,02-Jun-00,2000-06-02,154,8.16,56,,,,,17,11.22,54.24,,,22
2000,WW,19-Jun-00,2000-06-19,171,8.41,80,,,,,0,10.63,41.54,,,21
2000,WW,04-Jul-00,2000-07-04,186,8.52,196,,,,,4,13.35,33.92,,,22
2000,WW,17-Jul-00,2000-07-17,199,8.69,388,,,,,34,16.5,41.13,,,20
2000,WW,31-Jul-00,2000-07-31,213,,954,,,,,18,18.1,43.47,,,27
2000,WW,15-Aug-00,2000-08-15,228,,509,,,,,12,17.17,56.26,,,26
2000,WW,30-Aug-00,2000-08-30,243,,652,,,,,58,20.44,69.83,,,38
2001,WW,02-May-01,2001-05-02,122,8.19,,,,21,,,13.86,35.17,,,
2001,WW,11-May-01,2001-05-11,131,8.65,,206.9,859.6,22,,6.2,11.87,29.48,,,33.7
2001,WW,25-May-01,2001-05-25,145,8.73,,170.5,929.6,5,,11.1,19.65,57.63,,,279.8
2001,WW,11-Jun-01,2001-06-11,162,8.7,,304.9,977.5,32,,205.3,17.44,65.24,,,9.5
2001,WW,22-Jun-01,2001-06-22,173,9.07,,324,1003.9,23,,8.3,17.7,70.36,,,641
2001,WW,11-Jul-01,2001-07-11,192,,,351.1,875.7,16,,0,18.23,59.08,,,1.7
2001,WW,19-Jul-01,2001-07-19,200,6.66,,1000,1036.6,8,,0,20.1,52.58,,,1.7
2001,WW,01-Aug-01,2001-08-01,213,9.39,,1000,1277.5,35,,17.5,19.12,54.51,,,9.7
2001,WW,16-Aug-01,2001-08-16,228,10.1,,1000,1280,18,,4.9,19.31,59.28,,,1.7
2001,WW,29-Aug-01,2001-08-29,241,10.12,,1000,1300,26,,4.9,21.92,60.47,,,1.7
2002,WW,03-May-02,2002-05-03,123,10.4,,255,1561.2,38,,279,22.57,,,,29
2002,WW,17-May-02,2002-05-17,137,8.62,,113,1280,32,,11,26.36,,,,74
2002,WW,03-Jun-02,2002-06-03,154,8.28,,289,1321.9,37,,9,16.79,,,,95
2002,WW,17-Jun-02,2002-06-17,168,8.62,,159,6400,24,,50,17.12,,,,24
2002,WW,02-Jul-02,2002-07-02,183,9.81,,282,1242.1,23,,33,15.54,,,,306
2002,WW,22-Jul-02,2002-07-22,203,10,,275,1450,27,,199,19.53,,,,25
2002,WW,06-Aug-02,2002-08-06,218,8,,311,1344,10,,112,19.52,,,,19
2002,WW,19-Aug-02,2002-08-19,231,9.46,,286,1280,45,,78,17.12,,,,18
2003,WW,06-May-03,2003-05-06,126,8.17,,126,973.6,,,18,23.23,45.9,282.95,,24
2003,WW,16-May-03,2003-05-16,136,8.15,,109,1090.5,,,0,19.53,47.71,303.26,,0
2003,WW,02-Jun-03,2003-06-02,153,8.28,,248,991,,,0,14.45,51.74,353.59,,262
2003,WW,20-Jun-03,2003-06-20,171,8.83,,254,1065.8,,,0,14.5,51.67,389.81,,160
2003,WW,30-Jun-03,2003-06-30,181,9.48,,233,1061.1,,,0,14.88,43.83,399.92,,0
2003,WW,14-Jul-03,2003-07-14,195,10,,338,1206.3,,,0,14.97,44.65,404.47,,74
2003,WW,29-Jul-03,2003-07-29,210,10.14,,345,1796,,,0,16.77,0,430.95,,39
2003,WW,11-Aug-03,2003-08-11,223,10.52,,103,1696.9,,,0,19.42,24.51,441.38,,135
2003,WW,27-Aug-03,2003-08-27,239,10.27,,139,2477.7,,,0,22.48,28.6,478.05,,141
2004,WW,04-May-04,2004-05-04,125,9.43,90.5,112,732.62,,1.16,10.82,12.31,29.4,,,475.76
2004,WW,18-May-04,2004-05-18,139,9.1,162.7,199.5,955.2,,1.05,7.22,15.67,29.99,,,625.81
2004,WW,31-May-04,2004-05-31,152,8.7,249,269.8,857.72,,1.02,13.86,15.56,30.58,,,1071.16
2004,WW,14-Jun-04,2004-06-14,166,8.3,372.7,406.7,1298.87,,2.19,4.4,16.09,,,,814.46
2004,WW,28-Jun-04,2004-06-28,180,8.6,330.1,348,1531.05,,1.44,2.37,20.55,,,,287.5
2004,WW,12-Jul-04,2004-07-12,194,8.9,340.8,351.2,1766.61,,3.97,441.15,19.5,,,,106.4
2004,WW,27-Jul-04,2004-07-27,209,9.1,296.1,344.7,1527.33,,9.02,138.49,20.9,,,,16.96
2004,WW,09-Aug-04,2004-08-09,222,9.1,358.7,374,1789.84,,1.64,333.88,19.36,,,,91.65
2005,WW,02-May-05,2005-05-02,122,8.4,396.1,453.2,1723,,,22.9,21.41,34.56,,,367
2005,WW,16-May-05,2005-05-16,136,8.6,380.2,432.4,1177,,,20.5,19.89,36.76,,,313
2005,WW,27-May-05,2005-05-27,147,9.1,373.4,399,1134.5,,,17.8,17.45,35.22,,,85.5
2005,WW,13-Jun-05,2005-06-13,164,9.3,290.2,310.2,1014.1,,,81.2,14.82,36.8,,,15.9
2005,WW,27-Jun-05,2005-06-27,178,9.2,308.1,339.4,1139,,,105,16.69,38.98,,,21
2005,WW,11-Jul-05,2005-07-11,192,9.7,263.3,286,977.3,,,77.4,16.26,35.49,,,10.7
2005,WW,26-Jul-05,2005-07-26,207,9.7,288.4,314.8,1010,,,81.6,16.88,36.88,,,19.7
2005,WW,05-Aug-05,2005-08-05,217,9.8,268.5,308,1100.38,,,77,18.77,37.41,,,9.62
2006,WW,01-May-06,2006-05-01,121,8.9,142.95,174.78,1127.47,74803,,69.3,17.92,39.67,,,2.53
2006,WW,15-May-06,2006-05-15,135,9.1,156.71,191.76,1148.02,74811,,42.5,19.29,43.74,,,1.98
2006,WW,29-May-06,2006-05-29,149,9.1,174.87,201.14,1165,74820,,52.6,18.09,43.92,,,
2006,WW,09-Jun-06,2006-06-09,160,9.4,161.16,187.71,1132.86,74828,,44.7,18.96,42.33,,,7.14
2006,WW,26-Jun-06,2006-06-26,177,9.9,158.75,164.35,1106.7,74837,,70.4,16.3,35.69,,,13.3
2006,WW,10-Jul-06,2006-07-10,191,10.3,67.92,107.49,1146.18,74845,,49.4,15.7,29.59,,,3.82
2006,WW,25-Jul-06,2006-07-25,206,10.3,33.69,63.64,1155.08,74852,,44,13.9,29.21,,,4.92
2006,WW,08-Aug-06,2006-08-08,220,10,155.03,187.6,1313,74861,,186,16.04,32.57,,,17
2006,WW,21-Aug-06,2006-08-21,233,10.2,106.59,150.11,1308.6,74869,,49.6,16.3,33.52,,,11.4
2007,WW,01-May-07,2007-05-01,121,8.9,167,195,1080,,,0.2,,,263.71,4.27,104
2007,WW,14-May-07,2007-05-14,134,8.5,181,202,1110,,,0.2,17.23,35.97,282.03,2.86,320
2007,WW,28-May-07,2007-05-28,148,8.8,139,160,1010,,,0.2,16.44,37.22,295.78,2.86,211
2007,WW,11-Jun-07,2007-06-11,162,8.9,140,164,953,,,0.2,,,304.84,3.12,163
2007,WW,25-Jun-07,2007-06-25,176,9.3,110,145,1100,,,0.2,15.54,37.66,318.27,2.86,285
2007,WW,09-Jul-07,2007-07-09,190,9.2,72,98,973,,,0.2,15.47,34.92,317.53,2.01,194
2007,WW,23-Jul-07,2007-07-23,204,9.4,55,73,962,,,0.2,,,314.49,2.71,246
2007,WW,07-Aug-07,2007-08-07,219,9,115,147,1380,,,0.2,14.43,32.43,317.38,3.08,581
2007,WW,20-Aug-07,2007-08-20,232,9,136,156,1550,,,0.2,15.98,33.54,330.74,2.08,806
2008,WW,05-May-08,2008-05-05,126,8.9,48,81.2,1650,,,11,15.45,39.84,,0,466
2008,WW,20-May-08,2008-05-20,141,8.7,16,52.8,1490,,,6,15.14,41.52,,0,285
2008,WW,02-Jun-08,2008-06-02,154,8.9,22,49.5,1620,,,9,13.6,42.12,,0,273
2008,WW,16-Jun-08,2008-06-16,168,8.9,7,34.1,1210,,,10,15.8,43.85,,0,112
2008,WW,30-Jun-08,2008-06-30,182,9.2,10,32.9,1460,,,14,13.71,38.11,,0,234
2008,WW,14-Jul-08,2008-07-14,196,8.9,69,95.6,1960,,,14,13.98,37.46,,0,432
2008,WW,28-Jul-08,2008-07-28,210,9.3,85,120,1460,,,16,13.81,34.35,,0,51
2008,WW,11-Aug-08,2008-08-11,224,8.7,170,222,1650,,,10,15.71,35.66,,0,271
2008,WW,25-Aug-08,2008-08-25,238,9.1,180,242,1630,,,0.2,15.13,35.58,,0,245
2009,WW,04-May-09,2009-05-04,124,7.8,302,481,2540,,,0.2,19.5,36.14,,0,1480
2009,WW,19-May-09,2009-05-19,139,7.1,308,451,1380,,,4,21.13,41.54,,0,454
2009,WW,01-Jun-09,2009-06-01,152,8.4,226,361,1290,,,43,21.52,42.39,,0,241
2009,WW,15-Jun-09,2009-06-15,166,9.2,157,272,1070,,,0.2,20.07,44.19,,0,266
2009,WW,29-Jun-09,2009-06-29,180,9.1,228,421,1020,,,0.2,18.7,46.93,,0,167
2009,WW,13-Jul-09,2009-07-13,194,10.1,261,418,912,,,0.2,25.03,43.14,,0,67
2009,WW,27-Jul-09,2009-07-27,208,9.8,325,442,924,,,0.2,23.06,45.14,,0,38
2009,WW,10-Aug-09,2009-08-10,222,10.3,388,546,959,,,0.2,19.12,51.1,,0,5
2009,WW,24-Aug-09,2009-08-24,236,9.7,353,492,1180,,,0.2,15.15,46.44,,0,51
2010,WW,03-May-10,2010-05-03,123,8.6,410,476,1950,,,7,35.28,35.28,,0,947
2010,WW,17-May-10,2010-05-17,137,8.7,321,363,1250,,,4,34.71,39.54,,0,284
2010,WW,31-May-10,2010-05-31,151,8.4,281,351,1480,,,5,35.17,42.78,,0,489
2010,WW,14-Jun-10,2010-06-14,165,9.3,199,259,1510,,,3,36.82,43.2,,0,473
2010,WW,28-Jun-10,2010-06-28,179,8.6,341,386,1340,,,10,39.69,37.54,,0,68
2010,WW,12-Jul-10,2010-07-12,193,9.4,515,652,1470,,,12,38.71,45.5,,0,95
2010,WW,26-Jul-10,2010-07-26,207,9.6,671,899,1840,,,41,47.79,53.31,,0,104
2010,WW,09-Aug-10,2010-08-09,221,9.9,704,975,1790,,,51,42.57,54.68,,0,11
2010,WW,23-Aug-10,2010-08-23,235,8.8,614,1020,1650,,,29,53.37,53.53,,0,81
2011,WW,02-May-11,2011-05-02,122,8.3,286,301,1366,,,2,12.74,29.99,,0,829
2011,WW,16-May-11,2011-05-16,136,8.4,313,350,1230,,,0.2,12.83,41.02,,0,474
2011,WW,30-May-11,2011-05-30,150,9.1,472,469,1278,,,0.2,16.8,47.89,,0,450
2011,WW,13-Jun-11,2011-06-13,164,8.7,257,256,1822,,,0.2,19.85,57.58,,0,1090
2011,WW,27-Jun-11,2011-06-27,178,8.1,651,596,2140,,,2,14.16,48.38,,0,2110
2011,WW,11-Jul-11,2011-07-11,192,9.4,595,638,1940,,,2,26.69,67.13,,0,677
2011,WW,25-Jul-11,2011-07-25,206,9,845,677,1744,,,0.2,21.28,74.77,,0,223
2011,WW,08-Aug-11,2011-08-08,220,9.7,788,857,1810,,,0.2,21.58,77.35,,0,393
2011,WW,22-Aug-11,2011-08-22,234,8.4,592,617,1488,,,0.2,13.74,46.25,,0,917
2011,WW,07-Sep-11,2011-09-07,250,8.7,553,607,1284,,,0.2,10.22,45.64,,0,177
2011,WW,20-Sep-11,2011-09-20,263,9.4,463,537,1174,,,71,13.41,45.14,,0,36
2012,WW,01-May-12,2012-05-01,122,9.1,37,54,1570,,,3,18.02,55.98,,0,467
2012,WW,14-May-12,2012-05-14,135,9,140,150,1600,,,0.2,15.74,65.81,,0,426
2012,WW,28-May-12,2012-05-28,149,8.7,216,222,3750,,,0.2,4.76,67.4,,0,2428
2012,WW,11-Jun-12,2012-06-11,163,8.5,254,259,3000,,,0.2,7.15,62.39,,0,1730
2012,WW,25-Jun-12,2012-06-25,177,8.39,287,285,1700,,,0.2,9.84,63.36,,0,540
2012,WW,09-Jul-12,2012-07-09,191,8.97,574,582,2260,,,0.2,13.11,57.59,,0,1050
2012,WW,23-Jul-12,2012-07-23,205,9.52,477,462,1690,,,0.2,23.51,60.96,,0,523
2012,WW,07-Aug-12,2012-08-07,220,8.78,524,532,1290,,,29,22.37,62.91,,0,14
2012,WW,20-Aug-12,2012-08-20,233,9.48,2020,2150,2620,,,0.2,12.4,57.13,,0,300
2013,WW,13-May-13,2013-05-13,133,9.4,306,318,1310,,,0.3,,,,0,287
2013,WW,27-May-13,2013-05-27,147,8.32,465,468,1470,,,0.3,,,,0,260
2013,WW,10-Jun-13,2013-06-10,161,8.42,577,588,1650,,,0.3,,,,0,428
2013,WW,24-Jun-13,2013-06-24,175,9.07,432,450,1420,,,0.3,,,,0,320
2013,WW,08-Jul-13,2013-07-08,189,9.35,526,539,1420,,,0.3,,,,0,356
2013,WW,22-Jul-13,2013-07-22,203,8.8,539,551,1480,,,18,,,,0,258
2013,WW,06-Aug-13,2013-08-06,218,9.2,487,493,1180,,,32,,,,0,0.1
2013,WW,19-Aug-13,2013-08-19,231,9,564,573,1270,,,35,,,,0,0.1
2014,WW,05-May-14,2014-05-05,125,8.5,265,278,1240,,,0.3,,,,0,126
2014,WW,20-May-14,2014-05-20,140,8,243,253,1190,,,0.3,,,,0,73
2014,WW,02-Jun-14,2014-06-02,153,8.4,277,303,1470,,,0.3,,,,0,286
2014,WW,16-Jun-14,2014-06-16,167,8.2,327,338,1780,,,0.3,,,,0,866
2014,WW,30-Jun-14,2014-06-30,181,8.7,440,466,2330,,,0.3,,,,0,1321
2014,WW,14-Jul-14,2014-07-14,195,8,831,842,2420,,,9,,,,0,660
2014,WW,28-Jul-14,2014-07-28,209,8.5,918,928,2230,,,73,,,,0,171
2014,WW,11-Aug-14,2014-08-11,223,8.7,865,872,1820,,,33,,,,0,13
